Authors,Title,Year,Source,ArticleURL,Type,DOI,Cites,GSRank,QueryDate,Database,SearchTerms,RecordID
K. Chandramouli,Formation and properties of [4Fe-4S] clusters on the IscU scaffold protein,2007,Biochemistry,,Article,10.1021/bi6026659,158,181,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--electrontransport,moss*--absorption,moss*--absorption,moss*--electrontransport",7605
C. LeVanda,"Bis(fulvalene)diiron, Its Mono- and Dications. Intramolecular Exchange Interactions in a Rigid System",1976,Journal of the American Chemical Society,,Article,10.1021/ja00427a021,157,182,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7606
C. Lin,Multilayer Black Phosphorus as a Versatile Mid-Infrared Electro-optic Material,2016,Nano Letters,,Article,10.1021/acs.nanolett.5b04594,156,183,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--phosphorus,moss*--absorption,moss*--absorption,moss*--phosphorus",7607
J. Szczytko,Antiferromagnetic p-d exchange in ferromagnetic Ga<inf>1-x</inf>Mn<inf>x</inf>As epilayers,1999,Physical Review B - Condensed Matter and Materials Physics,,Article,10.1103/PhysRevB.59.12935,156,184,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7608
Y. Mizuno,Electrochemical Mg<sup>2+</sup> intercalation into a bimetallic CuFe Prussian blue analog in aqueous electrolytes,2013,Journal of Materials Chemistry A,,Article,10.1039/c3ta13205f,155,185,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7609
R. Bauminger,"Study of the low-temperature transition in magnetite and the internal fields acting on iron nuclei in some spinel ferrites, using Mössbauer absorption",1961,Physical Review,,Article,10.1103/PhysRev.122.1447,155,186,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7610
N. Kitajima,Monomelic Carboxylate Ferrous Complexes as Models for the Dioxygen Binding Sites in Non-Heme Iron Proteins. The Reversible Formation and Characterization of μ-Peroxo Diferric Complexes,1994,Journal of the American Chemical Society,,Article,10.1021/ja00099a025,155,187,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7611
Z. Pan,The upside-down water collection system of Syntrichia caninervis,2016,Nature Plants,,Article,10.1038/NPLANTS.2016.76,154,188,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,google,google,google,google,google,google,google,google,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption,syntrichia--absorption,syntrichia--absorption,syntrichia--absorption,syntrichia--distribution,syntrichia--height,syntrichia--rhizoid,syntrichia--soil,syntrichia--watercontent,syntrichia--absorption",7612
D. Virgo,The structural state of iron in oxidized vs. reduced glasses at 1 atm: A<sup>57</sup>Fe Mössbauer study,1985,Physics and Chemistry of Minerals,,Article,10.1007/BF01046829,154,189,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7613
R. Howland,Determination of dopant site occupancies in Cu-substituted YBa2Cu3O7- by differential anomalous x-ray scattering,1989,Physical Review B,,Article,10.1103/PhysRevB.39.9017,154,190,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--scattering,moss*--absorption,moss*--absorption,moss*--scattering",7614
A.K.M.A. Ullah,Dietary intake of heavy metals from eight highly consumed species of cultured fish and possible human health risk implications in Bangladesh,2017,Toxicology Reports,https://api.elsevier.com/content/article/eid/1-s2.0-S2214750017300690,Article,10.1016/j.toxrep.2017.10.002,153,191,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7615
Y. Yang,Community structure of arbuscular mycorrhizal fungi associated with Robinia pseudoacacia in uncontaminated and heavy metal contaminated soils,2015,Soil Biology and Biochemistry,https://api.elsevier.com/content/article/eid/1-s2.0-S0038071715001194,Article,10.1016/j.soilbio.2015.03.018,153,192,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--phosphorus,moss*--absorption,moss*--absorption,moss*--phosphorus",7616
H. Skogby,OH<sup>-</sup> in pyroxene: an experimental study of incorporation mechanisms and stability,1989,American Mineralogist,,Article,,152,193,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7617
G. Xue,A synthetic precedent for the [Fe<sup>IV</sup><inf>2</inf>(μ-O) <inf>2</inf>] diamond core proposed for methane monooxygenase intermediate Q,2007,Proceedings of the National Academy of Sciences of the United States of America,,Article,10.1073/pnas.0708516105,151,194,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--light,moss*--scattering,moss*--absorption,moss*--absorption,moss*--light,moss*--scattering",7618
R.L. Milot,The Effects of Doping Density and Temperature on the Optoelectronic Properties of Formamidinium Tin Triiodide Thin Films,2018,Advanced Materials,,Article,10.1002/adma.201804506,150,195,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--scattering,moss*--absorption,moss*--absorption,moss*--scattering",7619
P. Kubiak,"Phase transition in the spinel Li<inf>4</inf>Ti<inf>5</inf>O<inf>12</inf> induced by lithium insertion - Influence of the substitutions Ti/V, Ti/Mn, Ti/Fe",2003,Journal of Power Sources,https://api.elsevier.com/content/article/eid/1-s2.0-S0378775303001861,Conference Paper,10.1016/S0378-7753(03)00186-1,150,196,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7620
R.A.D. Pattrick,Cation site occupancy in spinel ferrites studied by X-ray magnetic circular dichroism: Developing a method for mineralogists,2002,European Journal of Mineralogy,,Article,10.1127/0935-1221/2002/0014-1095,149,197,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7621
T. Minami,Optical properties of aluminum doped zinc oxide thin films prepared by rf magnetron sputtering,1985,Japanese Journal of Applied Physics,,Article,10.1143/JJAP.24.L605,149,198,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--reflectance,moss*--absorption,moss*--absorption,moss*--reflectance",7622
G. Sheng,Enhanced immobilization of ReO<inf>4</inf><sup>-</sup> by nanoscale zerovalent iron supported on layered double hydroxide via an advanced XAFS approach: Implications for TcO<inf>4</inf><sup>-</sup> sequestration,2016,Applied Catalysis B: Environmental,https://api.elsevier.com/content/article/eid/1-s2.0-S0926337316302582,Article,10.1016/j.apcatb.2016.04.001,148,199,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7623
K. Mageshwari,Physical properties of nanocrystalline CuO thin films prepared by the SILAR method,2013,Materials Science in Semiconductor Processing,https://api.elsevier.com/content/article/eid/1-s2.0-S1369800112002144,Article,10.1016/j.mssp.2012.09.016,148,200,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7624
J. Belnap,Surface disturbances: Their role in accelerating desertification,1995,Environmental Monitoring and Assessment,,Article,10.1007/BF00546879,275,2,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--carbon,moss*--nitrogenfixation,moss*--soil,moss*--albedo,moss*--albedo,moss*--carbon,moss*--nitrogenfixation,moss*--soil",7626
R.E. Arvidson,Nature and origin of the hematite-bearing plains of Terra Meridiani based on analyses of orbital and Mars Exploration rover data sets,2006,Journal of Geophysical Research: Planets,,Article,10.1029/2006JE002728,122,6,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--reflectance,moss*--albedo,moss*--albedo,moss*--reflectance",7630
D.A. Walker,Road dust and its environmental impact on Alaskan taiga and tundra,1987,Arctic &amp; Alpine Research,,Article,10.2307/1551414,101,8,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo,sphagnum--albedo,sphagnum--albedo,sphagnum--soil",7632
A.D. Rogers,Mineralogical composition of sands in Meridiani Planum determined from Mars Exploration Rover data and comparison to orbital measurements,2008,Journal of Geophysical Research: Planets,,Article,10.1029/2007JE002995,99,9,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7633
L.T. Steyaert,"Land cover mapping, fire regeneration, and scaling studies in the Canadian boreal forest with 1 km AVHRR and Landsat TM data",1997,Journal of Geophysical Research Atmospheres,,Article,10.1029/97jd01220,65,14,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--reflectance,moss*--albedo,moss*--albedo,moss*--reflectance",7638
B. Wagner,"Late Pleistocene and Holocene history of Lake Terrasovoje, Amery Oasis, East Antarctica, and its climatic and environmental implications",2004,Journal of Paleolimnology,,Article,10.1007/s10933-004-0143-8,57,16,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7640
R.L. Reynolds,"Composition of dust deposited to snow cover in the Wasatch Range (Utah, USA): Controls on radiative properties of snow cover and comparison to some dust-source sediments",2014,Aeolian Research,https://api.elsevier.com/content/article/eid/1-s2.0-S1875963713000682,Article,10.1016/j.aeolia.2013.08.001,53,17,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--reflectance,moss*--albedo,moss*--albedo,moss*--reflectance",7641
L.V. Moroz,Spectral properties of simulated impact glasses produced from martian soil analogue JSC Mars-1,2009,Icarus,https://api.elsevier.com/content/article/eid/1-s2.0-S0019103509000669,Article,10.1016/j.icarus.2009.02.007,46,18,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--reflectance,moss*--albedo,moss*--albedo,moss*--reflectance",7642
W. Arnott,Photoacoustic insight for aerosol light absorption aloft from meteorological aircraft and comparison with particle soot absorption photometer measurements: DOE Southern Great Plains climate research facility and the coastal stratocumulus imposed perturbation experiments,2006,Journal of Geophysical Research Atmospheres,,Article,10.1029/2005JD005964,46,19,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7643
K.M. Cannon,Spectral properties of Martian and other planetary glasses and their detection in remotely sensed data,2017,Journal of Geophysical Research: Planets,,Article,10.1002/2016JE005219,45,20,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7644
W. Muehleisen,Energy yield measurement of an elevated PV system on a white flat roof and a performance comparison of monofacial and bifacial modules,2021,Renewable Energy,https://api.elsevier.com/content/article/eid/1-s2.0-S0960148121001828,Article,10.1016/j.renene.2021.02.015,44,21,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7645
J.M. Bezerra,"Biophysical parameters from remote sensing in semiarid region of Rio Grande do Norte state, Brazil",2014,Revista Brasileira de Engenharia Agricola e Ambiental,,Article,10.1590/S1415-43662014000100010,32,24,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7648
J.R. Melton,Improving permafrost physics in the coupled Canadian Land Surface Scheme (v.3.6.2) and Canadian Terrestrial Ecosystem Model (v.2.1) (CLASS-CTEM),2019,Geoscientific Model Development,,Article,10.5194/gmd-12-4443-2019,29,25,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7649
D. Liu,Carbonaceous aerosols contributed by traffic and solid fuel burning at a polluted rural site in Northwestern England,2011,Atmospheric Chemistry and Physics,,Article,10.5194/acp-11-1603-2011,26,27,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7651
M. Hašan,Interactive albedo editing in path-traced volumetric materials,2013,ACM Transactions on Graphics,,Article,10.1145/2451236.2451237,23,29,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7653
R.L. Reynolds,"Dust Deposited on Snow Cover in the San Juan Mountains, Colorado, 2011–2016: Compositional Variability Bearing on Snow-Melt Effects",2020,Journal of Geophysical Research: Atmospheres,,Article,10.1029/2019JD032210,18,34,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7658
M.A. Tiffany,"Phytoplankton dynamics in the Salton Sea, California, 1997-1999",2007,Lake and Reservoir Management,,Article,10.1080/07438140709354039,18,35,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7659
E.P. Muniz,On cobalt ferrite production by sol-gel from orange fruit residue by three related procedures and its application in oil removal,2020,Journal of Cleaner Production,https://api.elsevier.com/content/article/eid/1-s2.0-S0959652620317595,Article,10.1016/j.jclepro.2020.121712,17,36,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7660
J.R.C. Proveti,Sol–gel proteic method using orange albedo pectin for obtaining cobalt ferrite particles,2015,Journal of Sol-Gel Science and Technology,,Article,10.1007/s10971-015-3671-y,13,38,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7662
G.S. Rawat,"Floristic structure of snowline vegetation in Central Himalaya, India.",1987,Arctic &amp; Alpine Research,,Article,10.2307/1551252,13,39,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7663
H. Peng,Extracting the canopy structure parameters using hemispherical photography method,2011,Shengtai Xuebao/ Acta Ecologica Sinica,,Article,,10,43,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7667
S.M. Lederer,Albedo features and jovian seismology,1995,Icarus,https://api.elsevier.com/content/article/eid/1-s2.0-S0019103585710615,Article,10.1006/icar.1995.1061,8,45,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7669
P. Gaulme,Coupling of acoustic waves to clouds in the jovian troposphere,2005,Icarus,https://api.elsevier.com/content/article/eid/1-s2.0-S0019103505001569,Article,10.1016/j.icarus.2005.04.004,7,48,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7672
H.L. Walker,The Importance of Capturing Local Measurement-Driven Adjustment of Modelled j(NO<inf>2</inf>),2022,Atmosphere,,Article,10.3390/atmos13071065,2,53,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7677
L. Tanner,Significance of vegetation cover differences on albedo and soil carbon on a basaltic sandplain in southern Iceland,2019,AIMS Environmental Science,,Article,10.3934/environsci.2019.6.435,2,54,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7678
J. Uetake,"Spatial Distribution of Unique Biological Communities and Their Control Over Surface Reflectivity of the Stanley Glacier, Uganda",2022,Frontiers in Earth Science,,Article,10.3389/feart.2022.740998,1,55,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7679
L. Tanner,ALBEDO ON A GLACIAL FORELAND AT GROUND LEVEL AND LANDSCAPE SCALE DRIVEN BY VEGETATION-SUBSTRATE PATTERNS,2023,European Journal of Environmental Sciences,,Article,10.14712/23361964.2023.8,0,56,2024-07-01 15:18:07,"scopus,scopus,scopus,scopus","moss*--albedo,moss*--albedo,moss*--albedo,moss*--albedo",7680
Z.C. Yu,Northern peatland carbon stocks and dynamics: A review,2012,Biogeosciences,,Review,10.5194/bg-9-4071-2012,546,1,2024-07-01 15:14:44,"scopus,scopus,scopus,scopus,scopus,scopus,google,google,google,google,scopus,scopus,scopus,scopus,scopus","moss*--bulkdensity,moss*--bulkdensity,moss*--carbon,moss*--bulkdensity,moss*--bulkdensity,moss*--carbon,peat--bulkdensity,peat--bulkdensity,peat--carbon,peat--photosynthesis,peat--bulkdensity,peat--carbon,sphagnum--bulkdensity,sphagnum--bulkdensity,sphagnum--carbon",7681
S.F. Vaughn,Comparison of biochars derived from wood pellets and pelletized wheat straw as replacements for peat in potting substrates,2013,Industrial Crops and Products,https://api.elsevier.com/content/article/eid/1-s2.0-S0926669013005621,Article,10.1016/j.indcrop.2013.10.010,169,4,2024-07-01 15:14:44,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","moss*--bulkdensity,moss*--bulkdensity,moss*--carbon,moss*--height,moss*--bulkdensity,moss*--bulkdensity,moss*--carbon,moss*--height,peat--bulkdensity,peat--bulkdensity,peat--height",7684
P. Bland,Modal mineralogy of carbonaceous chondrites by X-ray diffraction and Mössbauer spectroscopy,2004,Meteoritics and Planetary Science,,Article,10.1111/j.1945-5100.2004.tb00046.x,166,5,2024-07-01 15:14:44,"scopus,scopus,scopus,scopus","moss*--bulkdensity,moss*--bulkdensity,moss*--bulkdensity,moss*--bulkdensity",7685
M.R. Turetsky,Dating recent peat deposits,2004,Wetlands,,Review,10.1672/0277-5212(2004)024[0324:DRPD]2.0.CO;2,144,7,2024-07-01 15:14:44,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","moss*--bulkdensity,moss*--bulkdensity,moss*--bulkdensity,moss*--bulkdensity,peat--bulkdensity,peat--bulkdensity,sphagnum--bulkdensity,sphagnum--bulkdensity",7687
M.K. Nungesser,Modelling microtopography in boreal peatlands: Hummocks and hollows,2003,Ecological Modelling,https://api.elsevier.com/content/article/eid/1-s2.0-S030438000300067X,Article,10.1016/S0304-3800(03)00067-X,141,8,2024-07-01 15:14:44,"scopus,scopus,scopus,scopus,scopus,scopus,google,google,scopus,scopus,scopus,scopus,google,google,scopus,scopus","moss*--bulkdensity,moss*--bulkdensity,moss*--height,moss*--bulkdensity,moss*--bulkdensity,moss*--height,peat--height,peat--height,peat--bulkdensity,peat--height,sphagnum--height,sphagnum--height,sphagnum--albedo,sphagnum--albedo,sphagnum--bulkdensity,sphagnum--height",7688
D.J. Charman,Relationship between testate amoebae (Protozoa: Rhizopoda) and microenvironmental parameters on a forested peatland in northeastern Ontario,1992,Canadian Journal of Zoology,,Article,10.1139/z92-331,125,12,2024-07-01 15:14:44,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--bulkdensity,moss*--bulkdensity,moss*--bulkdensity,moss*--bulkdensity,peat--bulkdensity,peat--bulkdensity",7692
