Authors,Title,Year,Source,ArticleURL,Type,DOI,Cites,GSRank,QueryDate,Database,SearchTerms,RecordID
R. Martinez,Surface binding site analysis of Ca<sup>2+</sup>-homoionized clay-humic acid complexes,2010,Journal of Colloid and Interface Science,https://api.elsevier.com/content/article/eid/1-s2.0-S0021979710010064,Article,10.1016/j.jcis.2010.08.082,44,109,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157462
C. Gil,Determination and assessment of mercury content in calcareous soils,2010,Chemosphere,https://api.elsevier.com/content/article/eid/1-s2.0-S0045653509012910,Article,10.1016/j.chemosphere.2009.11.001,44,110,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157463
V.C. Farmer,Lignin in sphagnum and phragmites and in peats derived from these plants,1964,Geochimica et Cosmochimica Acta,https://api.elsevier.com/content/article/eid/1-s2.0-0016703764900043,Article,10.1016/0016-7037(64)90004-3,44,111,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption,sphagnum--absorption,sphagnum--absorption",157464
K. Nemati,Comparative study on open system digestion and microwave assisted digestion methods for metal determination in shrimp sludge compost,2010,Journal of Hazardous Materials,https://api.elsevier.com/content/article/eid/1-s2.0-S0304389410007934,Article,10.1016/j.jhazmat.2010.06.053,43,112,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157465
M.C. Hernandez-Soriano,Manganese toxicity in barley is controlled by solution manganese and soil manganese speciation,2012,Soil Science Society of America Journal,,Article,10.2136/sssaj2011.0193,42,113,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157466
N.B. Colauto,Alternative to peat for Agaricus brasiliensis yield,2010,Bioresource Technology,https://api.elsevier.com/content/article/eid/1-s2.0-S0960852409010864,Article,10.1016/j.biortech.2009.08.052,42,114,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157467
C. Côté-Beaulieu,Absorption of aqueous inorganic and organic silicon compounds by wheat and their effect on growth and powdery mildew control,2009,Environmental and Experimental Botany,https://api.elsevier.com/content/article/eid/1-s2.0-S0098847208001056,Article,10.1016/j.envexpbot.2008.09.003,42,115,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157468
M. Fukushima,Complex formation of water-soluble iron(III)-porphyrin with humic acids and their effects on the catalytic oxidation of pentachlorophenol,2006,Journal of Molecular Catalysis A: Chemical,https://api.elsevier.com/content/article/eid/1-s2.0-S1381116905007077,Article,10.1016/j.molcata.2005.09.051,42,117,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157470
M. Krachler,Extraction of antimony and arsenic from fresh and freeze-dried plant samples as determined by HG-AAS,2000,Fresenius' Journal of Analytical Chemistry,,Article,10.1007/s002160000578,41,119,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157472
S. Thomas,"Thermal, mechanical and biodegradation studies of biofiller based poly-3-hydroxybutyrate biocomposites",2020,International Journal of Biological Macromolecules,https://api.elsevier.com/content/article/eid/1-s2.0-S0141813019370308,Article,10.1016/j.ijbiomac.2019.11.112,39,121,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157474
Y. Takahashi,Comparison of Solid-Water Partitions of Radiocesium in River Waters in Fukushima and Chernobyl Areas,2017,Scientific Reports,,Article,10.1038/s41598-017-12391-7,39,123,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157476
L. Meunier,Effects of organic matter and ageing on the bioaccessibility of arsenic,2011,Environmental Pollution,https://api.elsevier.com/content/article/eid/1-s2.0-S0269749111003460,Article,10.1016/j.envpol.2011.06.018,38,126,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption,sphagnum--absorption,sphagnum--absorption",157479
K. Yang,Sorption of phenanthrene by nanosized alumina coated with sequentially extracted humic acids,2010,Environmental Science and Pollution Research,,Article,10.1007/s11356-009-0163-z,38,127,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157480
J. Besold,Monothioarsenate Transformation Kinetics Determining Arsenic Sequestration by Sulfhydryl Groups of Peat,2018,Environmental Science and Technology,,Article,10.1021/acs.est.8b01542,37,128,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157481
D. Chen,Sonochemical reactions of dissolved organic matter,2004,Research on Chemical Intermediates,,Article,10.1163/1568567041856954,36,130,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157483
I. Kulichevskaya,"Rhodoblastus sphagnicola sp. nov., a novel acidophilic purple non-sulfur bacterium form Sphagnum peat bog",2006,International Journal of Systematic and Evolutionary Microbiology,,Article,10.1099/ijs.0.63962-0,36,131,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption,sphagnum--absorption,sphagnum--absorption,sphagnum--light",157484
A.T. Chow,Filter pore size selection for characterizing dissolved organic carbon and trihalomethane precursors from soils,2005,Water Research,https://api.elsevier.com/content/article/eid/1-s2.0-S0043135405000096,Article,10.1016/j.watres.2005.01.004,36,132,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157485
R. Miller,"The association of major, minor and trace inorganic elements with lignites. II. Minerals, and major and minor element profiles, in four seams",1987,Geochimica et Cosmochimica Acta,https://api.elsevier.com/content/article/eid/1-s2.0-0016703787902213,Article,10.1016/0016-7037(87)90221-3,36,133,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157486
S. Petropoulos,"Successive harvesting affects yield, chemical composition and antioxidant activity of Cichorium spinosum L.",2017,Food Chemistry,https://api.elsevier.com/content/article/eid/1-s2.0-S0308814617308932,Article,10.1016/j.foodchem.2017.05.092,35,134,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157487
I. Kulichevskaya,"Descriptions of Roseiarcus fermentans gen. nov., sp. nov., a bacteriochlorophyll a-containing fermentative bacterium related phylogenetically to alphaproteobacterial methanotrophs, and of the family Roseiarcaceae fam. nov",2014,International Journal of Systematic and Evolutionary Microbiology,,Article,10.1099/ijs.0.064576-0,35,135,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption,sphagnum--absorption,sphagnum--absorption,sphagnum--light",157488
P. Genevini,Rice hull degradation by co-composting with dairy cattle slurry,1997,Soil Science and Plant Nutrition,,Article,10.1080/00380768.1997.10414722,35,137,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157490
J. Tschannerl,Potential of UV and SWIR hyperspectral imaging for determination of levels of phenolic flavour compounds in peated barley malt,2019,Food Chemistry,https://api.elsevier.com/content/article/eid/1-s2.0-S0308814618312317,Article,10.1016/j.foodchem.2018.07.089,34,138,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157491
O. Yakimenko,Source indicator of commercial humic products: UV-Vis and fluorescence proxies,2018,Journal of Soils and Sediments,,Article,10.1007/s11368-016-1528-9,34,139,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157492
M. Krachler,Inter-method comparison for the determination of antimony and arsenic in peat samples,2002,Analytica Chimica Acta,https://api.elsevier.com/content/article/eid/1-s2.0-S0003267002000612,Article,10.1016/S0003-2670(02)00061-2,34,140,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157493
M. Brambilla,"Foliar and root uptake of <sup>134</sup>Cs, <sup>85</sup>Sr and <sup>65</sup>Zn in processing tomato plants (Lycopersicon esculentum Mill.)",2002,Journal of Environmental Radioactivity,https://api.elsevier.com/content/article/eid/1-s2.0-S0265931X01001096,Article,10.1016/S0265-931X(01)00109-6,33,142,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--leafarea,peat--phenology,peat--absorption,peat--absorption,peat--leafarea,peat--phenology",157495
K. Kiared,Application of biofiltration to the control of voc emissions,1997,Environmental Technology (United Kingdom),,Article,10.1080/09593331808616512,33,143,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157496
J. Štupar,"Study of the use of soil suspensions in the determination of iron, manganese, magnesium and copper in soils by flame atomic-absorption spectrometry",1982,The Analyst,,Article,10.1039/AN9820700144,33,144,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157497
J. Bourdineaud,Divalent Mercury in Dissolved Organic Matter Is Bioavailable to Fish and Accumulates as Dithiolate and Tetrathiolate Complexes,2019,Environmental Science and Technology,,Article,10.1021/acs.est.8b06579,31,147,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157500
S. Shi,Biomass burning aerosol characteristics for different vegetation types in different aging periods,2019,Environment International,https://api.elsevier.com/content/article/eid/1-s2.0-S0160412018324498,Article,10.1016/j.envint.2019.02.073,31,148,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--albedo,peat--scattering,peat--absorption,peat--absorption,peat--albedo,peat--scattering",157501
M. Sander,"Sorption irreversibility of 1,4-dichlorobenzene in two natural organic matter-rich geosorbents",2009,Environmental Toxicology and Chemistry,,Article,10.1897/08-128.1,31,149,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157502
Z.g. Pei,"Effect of lead on the sorption of 2,4,6-trichlorophenol on soil and peat",2007,Environmental Pollution,https://api.elsevier.com/content/article/eid/1-s2.0-S026974910600532X,Article,10.1016/j.envpol.2006.09.001,31,150,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157503
Y. Sun,"Geochemistry of the barkinite liptobiolith (Late Permian) from the Jinshan Mine, Anhui Province, China",2007,Environmental Geochemistry and Health,,Article,10.1007/s10653-006-9059-8,31,151,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157504
D.S. Kosyakov,"Spectrophotometric determination of hydrazine, methylhydrazine, and 1,1-dimethylhydrazine with preliminary derivatization by 5-nitro-2-furaldehyde",2017,Journal of Analytical Chemistry,,Article,10.1134/S106193481702006X,30,152,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157505
P. Coufalík,Determination of mercury species using thermal desorption analysis in AAS,2014,Chemical Papers,,Article,10.2478/s11696-013-0471-0,30,153,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157506
C. Guimbaud,A portable infrared laser spectrometer for flux measurements of trace gases at the geosphere-atmosphere interface,2011,Measurement Science and Technology,,Article,10.1088/0957-0233/22/7/075601,30,154,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157507
G.C. Modarelli,"High Light Intensity from Blue-Red LEDs Enhance Photosynthetic Performance, Plant Growth, and Optical Properties of Red Lettuce in Controlled Environment",2022,Horticulturae,,Article,10.3390/horticulturae8020114,29,155,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--chlorophyll,peat--electrontransport,peat--photosynthesis,peat--reflectance,peat--absorption,peat--absorption,peat--chlorophyll,peat--electrontransport,peat--photosynthesis,peat--reflectance",157508
C. Abreu,Organic matter and barium absorption by plant species grown in an area polluted with scrap metal residue,2012,Applied and Environmental Soil Science,,Article,10.1155/2012/476821,29,157,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157510
C. Zaccone,"Comparison of Hg concentrations in ombrotrophic peat and corresponding humic acids, and implications for the use of bogs as archives of atmospheric Hg deposition",2009,Geoderma,https://api.elsevier.com/content/article/eid/1-s2.0-S0016706108003285,Article,10.1016/j.geoderma.2008.11.017,29,158,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157511
O. Hvatum,Heavy metals in Norwegian ombrotrophic bogs.,1983,"Environmental biogeochemistry. Proc. 5th international symposium, Stockholm, 1981",,Article,,29,160,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157513
C. Yates,"Assessing the drivers of dissolved organic matter export from two contrasting lowland catchments, U.K",2016,Science of the Total Environment,https://api.elsevier.com/content/article/eid/1-s2.0-S0048969716314000,Article,10.1016/j.scitotenv.2016.06.211,28,161,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157514
A. Wolf,"Effect of Ca<sup>2+</sup>-ions on the absorption of Pb<sup>2+</sup>, Cu<sup>2+</sup>, Cd<sup>2+</sup> and Zn<sup>2+</sup> by humic substances",1977,Chemosphere,https://api.elsevier.com/content/article/eid/1-s2.0-0045653577900030,Article,10.1016/0045-6535(77)90003-0,28,162,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157515
F. Jirsa,"Natural organic matter and iron export from the Tanner Moor, Austria",2013,Limnologica,https://api.elsevier.com/content/article/eid/1-s2.0-S0075951112000801,Article,10.1016/j.limno.2012.09.006,27,163,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157516
B. Kim,Fabrication of a crack-free large area photonic crystal with colloidal silica spheres modified with vinyltriethoxysilane,2012,Crystal Growth and Design,,Article,10.1021/cg3005147,27,164,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157517
J. Frank,Direct determination of arsenic in acid digests of plant and peat samples using HG-AAS and ICP-SF-MS,2005,Analytica Chimica Acta,https://api.elsevier.com/content/article/eid/1-s2.0-S0003267004013054,Article,10.1016/j.aca.2004.09.077,27,165,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157518
C. Dissanayake,Research Report Peat as a Metal-Trapping Material in the Purification of Industrial Effluents,1981,International Journal of Environmental Studies,,Article,10.1080/00207238108709912,27,167,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157520
H. Xia,Effect of Polycyclic Aromatic Hydrocarbon Source Materials and Soil Components on Partitioning and Dermal Uptake,2016,Environmental Science and Technology,,Article,10.1021/acs.est.5b06164,26,168,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157521
S. Biswas,Microbial uptake of diesel oil sorbed on soil and oil spill clean-up sorbents,2005,Journal of Chemical Technology and Biotechnology,,Article,10.1002/jctb.1257,26,169,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157522
N. Kavroulakis,Tolerance of tomato plants to water stress is improved by the root endophyte Fusarium solani FsK,2018,Rhizosphere,https://api.elsevier.com/content/article/eid/1-s2.0-S2452219818300223,Article,10.1016/j.rhisph.2018.04.003,25,171,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--conductance,peat--photosynthesis,peat--absorption,peat--absorption,peat--conductance,peat--photosynthesis",157524
M. Taga,Measurement of Copper Complexing Ability of Humic Acids by Using Diethylaminoethyl Sephadex A-25 Column,1989,Analytical Sciences,,Article,10.2116/analsci.5.597,25,172,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157525
P. Langner,Oxidation of organosulfur-coordinated arsenic and realgar in peat: Implications for the fate of arsenic,2014,Environmental Science and Technology,,Article,10.1021/es4049785,25,173,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157526
S. Endo,Characterization of sorbent properties of soil organic matter and carbonaceous geosorbents using n-alkanes and cycloalkanes as molecular probes,2009,Environmental Science and Technology,,Article,10.1021/es802277n,25,174,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157527
C.E. Martínez,"Biogeochemistry of metalliferous peats: Sulfur speciation and depth distributions of dsrAB genes and Cd, Fe, Mn, S, and Zn in soil cores",2007,Environmental Science and Technology,,Article,10.1021/es070555v,25,175,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--communitycomposition,peat--absorption,peat--absorption,peat--communitycomposition",157528
J.R. Degorce-Dumas,Microbiological oxidation of hydrogen sulphide in a biofilter,1997,Canadian Journal of Microbiology,,Article,10.1139/m97-037,25,176,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157529
B. Al‐Duri,Prediction of binary component isotherms for adsorption on heterogeneous surfaces,1992,Journal of Chemical Technology &amp; Biotechnology,,Article,10.1002/jctb.280530405,25,177,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption,sphagnum--absorption,sphagnum--absorption",157530
M.H. Bintoro,Growing area of sago palm and its environment,2018,Sago Palm: Multiple Contributions to Food Security and Sustainable Livelihoods,,Book Chapter,10.1007/978-981-10-5269-9_2,24,178,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157531
C. Mininni,Posidonia oceanica (L.) based compost as substrate for potted basil production,2015,Journal of the Science of Food and Agriculture,,Article,10.1002/jsfa.6917,24,179,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157532
S. Speer,Pilot-scale comparison of two hybrid-passive landfill leachate treatment systems operated in a cold climate,2012,Bioresource Technology,https://api.elsevier.com/content/article/eid/1-s2.0-S0960852411015550,Article,10.1016/j.biortech.2011.10.067,24,181,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157534
D. Ju,"Effects of competitor and natural organic matter characteristics on the equilibrium sorption of 1,2-dichlorobenzene in soil and shale",2004,Environmental Science and Technology,,Article,10.1021/es049668u,23,183,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157536
E. Wnuk,The effects of humic substances on DNA isolation from soils,2020,PeerJ,,Article,10.7717/peerj.9378,23,184,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--photosynthesis,peat--absorption,peat--absorption,peat--photosynthesis",157537
H.Y. Wang,Arsenic sequestration in pyrite and greigite in the buried peat of As-contaminated aquifers,2020,Geochimica et Cosmochimica Acta,https://api.elsevier.com/content/article/eid/1-s2.0-S0016703720303811,Article,10.1016/j.gca.2020.06.021,23,185,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157538
P. Hatcher,Evidence for the existence of humic acids in peat soils based on solid-state <sup>13</sup>C NMR,2019,Journal of Environmental Quality,,Article,10.2134/jeq2019.02.0083,23,186,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157539
I. Cano-Aguilera,"Use of hydride generation-atomic absorption spectrometry to determine the effects of hard ions, iron salts and humic substances on arsenic sorption to sorghum biomass",2005,Microchemical Journal,https://api.elsevier.com/content/article/eid/1-s2.0-S0026265X05000287,Article,10.1016/j.microc.2005.01.014,23,187,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption,sphagnum--absorption,sphagnum--absorption",157540
J. Schjoerring,Soil-plant-atmosphere ammonia exchange associated with Calluna vulgaris and Deschampsia flexuosa,1998,Atmospheric Environment,https://api.elsevier.com/content/article/eid/1-s2.0-S1352231097000101,Conference Paper,10.1016/S1352-2310(97)00010-1,23,188,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--photosynthesis,peat--absorption,peat--absorption,peat--photosynthesis",157541
W. Lyon,Molecular size exclusion by soil organic materials estimated from their swelling in organic solvents,1993,Environmental Toxicology and Chemistry,,Article,10.1002/etc.5620120809,23,189,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157542
Y. Zheng,Chemical composition and structure of humus relative to sources,2019,Acta Pedologica Sinica,,Article,10.11766/trxb201806050241,22,192,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157545
A. Pickard,Temporal changes in photoreactivity of dissolved organic carbon and implications for aquatic carbon fluxes from peatlands,2017,Biogeosciences,,Article,10.5194/bg-14-1793-2017,22,193,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157546
C.l. Li,Adsorption of Cu(II) on humic acids derived from different organic materials,2015,Journal of Integrative Agriculture,https://api.elsevier.com/content/article/eid/1-s2.0-S2095311913606826,Article,10.1016/S2095-3119(13)60682-6,22,194,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157547
G. Wu,Biological elimination of volatile organic compounds from waste gases in a biofilter,1998,"Water, Air, and Soil Pollution",,Article,10.1023/A:1004914919615,22,195,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157548
G. McKay,The Removal of Colour from Effluent using various Adsorbents: Some Preliminary Economic Considerations,1978,Journal of the Society of Dyers and Colourists,,Article,10.1111/j.1478-4408.1978.tb03423.x,22,196,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157549
R.S. Ferrarezi,Substrate pH Influences the Nutrient Absorption and Rhizosphere Microbiome of Huanglongbing-Affected Grapefruit Plants,2022,Frontiers in Plant Science,,Article,10.3389/fpls.2022.856937,21,197,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--photosynthesis,peat--absorption,peat--absorption,peat--photosynthesis",157550
