"","Authors","Title","Year","Source","ArticleURL","Type","DOI","Cites","GSRank","QueryDate","Database","SearchTerms","RecordID"
"11","J Singh, S Gautam","Effect of UV-B radiation on UV absorbing compounds and pigments of moss and lichen of Schirmacher Oasis region, East Antarctica",2012,"Cellular and Molecular Biology","http://cellmolbiol.org/index.php/CMB/article/view/581","","",50,11,"2024-07-01 13:42:22","google,google,scopus","moss*--absorption,moss*--chlorophyll,moss*--chlorophyll",11
"12","GP Moss, JC Dearden, H Patel, MTD Cronin","Quantitative structure–permeability relationships (QSPRs) for percutaneous absorption",2002,"Toxicology in vitro","https://www.sciencedirect.com/science/article/pii/S0887233302000036","","",323,12,"2024-07-01 13:42:22","google","moss*--absorption",12
"13","R Hui, R Zhao, G Song, Y Li, Y Zhao…","… enhanced ultraviolet-B radiation, water deficit, and their combination on UV-absorbing compounds and osmotic adjustment substances in two different moss …",2018,"Environmental Science and …","https://link.springer.com/article/10.1007/s11356-018-1689-8","HTML","10.1007/s11356-018-1689-8",17,13,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--quantumyield",13
"14","NM Lappalainen, S Huttunen, H Suokanerva…","Seasonal acclimation of the moss Polytrichum juniperinum Hedw. to natural and enhanced ultraviolet radiation",2010,"Environmental …","https://www.sciencedirect.com/science/article/pii/S0269749109004680","","",19,14,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--leafdensity",14
"15","A Sandhi, T Landberg, M Greger","Phytofiltration of arsenic by aquatic moss (Warnstorfia fluitans)",2018,"Environmental Pollution","https://www.sciencedirect.com/science/article/pii/S026974911731206X","","",48,15,"2024-07-01 13:42:22","google","moss*--absorption",15
"16","JF Dormaar","Infrared absorption spectra of mineral matter in saxicolous lichens and associated mosses",1968,"Canadian Journal of Earth Sciences","https://cdnsciencepub.com/doi/abs/10.1139/e68-023","","10.1139/e68-023",16,16,"2024-07-01 13:42:22","google","moss*--absorption",16
"17","L Long, Y Zhu, C Zhang, K Liu, S Jiang","Broadband electromagnetic wave absorption performance of CuS-biomass carbon composites derived from moss",2024,"Journal of Alloys and Compounds","https://www.sciencedirect.com/science/article/pii/S0925838823039051","","",5,17,"2024-07-01 13:42:22","google,google,google,google","moss*--absorption,moss*--carbon,moss*--electrontransport,moss*--scattering",17
"18","H Hespanhol, G Fabón, L Monforte, J Martínez-Abaigar…","Among-and within-genus variability of the UV-absorption capacity in saxicolous mosses",2014,"The Bryologist","https://bioone.org/journals/the-bryologist/volume-117/issue-1/0007-2745-117.1.001/Among--and-within-genus-variability-of-the-UV-absorption/10.1639/0007-2745-117.1.001.short","","10.1639/0007-2745-117.1.001.short",11,18,"2024-07-01 13:42:22","google","moss*--absorption",18
"19","H Nakajima, K Itoh, H Otake, K Fujimoto","Spectral properties of the Cu-hyperaccumulating moss Scopelophila cataractae",2011,"Journal of Photochemistry and …","https://www.sciencedirect.com/science/article/pii/S1011134411001382","HTML","",12,19,"2024-07-01 13:42:22","google,google,google,google","moss*--absorption,moss*--chlorophyll,moss*--photosystem,moss*--reflectance",19
"20","E NILSSON, O TOTTMAR","Moss pigments",1967,"ACTA CHEMICA SCANDINAVICA","http://actachemscand.org/pdf/acta_vol_21_p1558-1566.pdf","PDF","",15,20,"2024-07-01 13:42:22","google","moss*--absorption",20
"21","D Sleinus, M Sinka, A Korjakins, V Obuka, V Nikolajeva…","Properties of Sound Absorption Composite Materials Developed Using Flax Fiber, Sphagnum Moss, Vermiculite, and Sapropel",2023,"Materials","https://www.mdpi.com/1996-1944/16/3/1060","HTML","",7,21,"2024-07-01 13:42:22","google","moss*--absorption",21
"22","JL Bubier, BN Rock, PM Crill","Spectral reflectance measurements of boreal wetland and forest mosses",1997,"Journal of Geophysical …","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/97JD02316","","10.1029/97JD02316",161,22,"2024-07-01 13:42:22","google,google,google,google,google,google,scopus,scopus","moss*--absorption,moss*--chlorophyll,moss*--height,moss*--phenology,moss*--reflectance,moss*--respiration,moss*--reflectance,moss*--watercontent",22
"23","G Bendz, O Martensson…","Moss pigments",1962,"Acta Chemica …","http://actachemscand.org/pdf/acta_vol_16_p1183-1190.pdf","PDF","",61,23,"2024-07-01 13:42:22","google","moss*--absorption",23
"24","S Giordano, C Colacino, V Spagnuolo, A Basile…","Morphological adaptation to water uptake and transport in the poikilohydric moss Tortula ruralis",1993,"Plant …","https://www.tandfonline.com/doi/pdf/10.1080/11263509309429491","","10.1080/11263509309429491",19,24,"2024-07-01 13:42:22","google,google,google,scopus","moss*--absorption,moss*--rhizoid,moss*--watercontent,moss*--rhizoid",24
"25","C Udawattha, H Galkanda, IS Ariyarathne…","Mold growth and moss growth on tropical walls",2018,"Building and …","https://www.sciencedirect.com/science/article/pii/S0360132318302221","","",45,25,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--albedo",25
"26","SK Vats, A Singh, M Koul, PL Uniyal","Study on the metal absorption by two mosses in Delhi Region (India)",2010,"J Am Sci","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c3a826d09f3c0d75b01f646673d6783250d42e90","PDF","",8,26,"2024-07-01 13:42:22","google","moss*--absorption",26
"27","P Li, X Sun, J Cheng, G Zheng","Absorption of the natural radioactive gas 222Rn and its progeny 210Pb by Spanish moss Tillandsia usneoides and its response to radiation",2019,"Environmental and Experimental Botany","https://www.sciencedirect.com/science/article/pii/S0098847218314795","","",13,27,"2024-07-01 13:42:22","google","moss*--absorption",27
"28","A Pradhan, S Kumari, S Dash, DP Biswal…","Heavy metal absorption efficiency of two species of Mosses (Physcomitrella patens and Funaria hygrometrica) studied in mercury treated culture under laboratory …",2017,"IOP Conference …","https://iopscience.iop.org/article/10.1088/1757-899X/225/1/012225/meta","","10.1088/1757-899X/225/1/012225",13,28,"2024-07-01 13:42:22","google","moss*--absorption",28
"29","E Gjengedal, E Steinnes","Uptake of metal ions in moss from artificial precipitation",1990,"Environmental Monitoring and Assessment","https://link.springer.com/article/10.1007/BF00394359","","10.1007/BF00394359",182,29,"2024-07-01 13:42:22","google","moss*--absorption",29
"30","V Kmetov, V Stefanova, D Hristozov, D Georgieva…","Determination of calcium, iron and manganese in moss by automated discrete sampling flame atomic absorption spectrometry as an alternative to the ICP–MS …",2003,"Talanta","https://www.sciencedirect.com/science/article/pii/S0039914002004691","","",19,30,"2024-07-01 13:42:22","google","moss*--absorption",30
"31","O Skre, WC Oechel, PM Miller","Moss leaf water content and solar radiation at the moss surface in a mature black spruce forest in central Alaska",1983,"Canadian Journal of Forest …","https://cdnsciencepub.com/doi/abs/10.1139/x83-116","","10.1139/x83-116",94,31,"2024-07-01 13:42:22","google,google,google,google,google,scopus","moss*--absorption,moss*--light,moss*--photosynthesis,moss*--photosynthetictissue,moss*--watercontent,moss*--watercontent",31
"32","B De Pontieu, R Erdélyi","The nature of moss and lower atmospheric seismology",2006,"Philosophical Transactions of …","https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2005.1704","","10.1098/rsta.2005.1704",79,32,"2024-07-01 13:42:22","google,google,google,scopus","moss*--absorption,moss*--height,moss*--light,moss*--height",32
"33","G Fabón, L Monforte, R Tomás-Las-Heras…","Cell compartmentation of UV-absorbing compounds in two aquatic mosses under enhanced UV-B",2012,"Cryptogamie …","https://bioone.org/journals/Cryptogamie-Bryologie/volume-33/issue-2/cryb.v33.iss2.2012.169/Cell-Compartmentation-of-UV-Absorbing-Compounds-in-Two-Aquatic-Mosses/10.7872/cryb.v33.iss2.2012.169.short","","10.7872/cryb.v33.iss2.2012.169.short",19,33,"2024-07-01 13:42:22","google,google,scopus,scopus","moss*--absorption,moss*--quantumyield,moss*--photosystem,moss*--quantumyield",33
"34","JR Vaizey","On the absorption of water and its relation to the constitution of the cell-wall in Mosses",1887,"Annals of Botany","https://www.jstor.org/stable/43234319","","",9,34,"2024-07-01 13:42:22","google","moss*--absorption",34
"35","H Yamakawa, Y Fukushima, S Itoh…","Three different mechanisms of energy dissipation of a desiccation-tolerant moss serve one common purpose: to protect reaction centres against photo-oxidation",2012,"Journal of Experimental …","https://academic.oup.com/jxb/article-abstract/63/10/3765/540980","","",42,35,"2024-07-01 13:42:22","google,google,google,google,google,google,scopus","moss*--absorption,moss*--dessication,moss*--electrontransport,moss*--light,moss*--photosystem,moss*--quantumyield,moss*--photosystem",35
"36","C Rixen, CPH Mulder","Improved water retention links high species richness with increased productivity in arctic tundra moss communities",2005,"Oecologia","https://link.springer.com/article/10.1007/s00442-005-0196-z","HTML","10.1007/s00442-005-0196-z",96,36,"2024-07-01 13:42:22","google,google,google,scopus","moss*--absorption,moss*--height,moss*--watercontent,moss*--height",36
"37","VA Moss, JR Allison, EM Sadler…","Connecting X-ray absorption and 21 cm neutral hydrogen absorption in obscured radio AGN",2017,"Monthly Notices of …","https://academic.oup.com/mnras/article-abstract/471/3/2952/3930854","","",31,37,"2024-07-01 13:42:22","google","moss*--absorption",37
"38","V De Matteis, M Rojas, M Cascione, S Mazzotta…","Physico-chemical properties of inorganic NPs influence the absorption rate of aquatic mosses reducing cytotoxicity on intestinal epithelial barrier model",2021,"Molecules","https://www.mdpi.com/1420-3049/26/10/2885","HTML","",5,38,"2024-07-01 13:42:22","google","moss*--absorption",38
"39","WE Winner, CJ Atkinson","Annual absorption of gaseous air pollutants by mosses and vascular plants in diverse habitats",1987,"Effects of Atmospheric Pollutants on Forests …","https://link.springer.com/chapter/10.1007/978-3-642-70874-9_31","","10.1007/978-3-642-70874-9_31",6,39,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--conductance",39
"40","MF Helen, MT SD áVasconcelos, ASC AdÚlio…","Application of hydride generation atomic absorption spectrometry to the determination of lead collected on air filters and Sphagnum moss",1993,"Analyst","https://pubs.rsc.org/en/content/articlehtml/1993/an/an9931801433","","",10,40,"2024-07-01 13:42:22","google","moss*--absorption",40
"41","NTM Sang, LNH Le Hong Khiemb, TVM Thiena…","Survey on the ability to absorb elements in the polluted air of moss bags and lichen bags with non-irradiation and irradiated",NA,"kns.org","https://www.kns.org/files/pre_paper/48/22A-010.pdf","PDF","",0,41,"2024-07-01 13:42:22","google","moss*--absorption",41
"42","SA Robinson, JD Turnbull…","Impact of changes in natural ultraviolet radiation on pigment composition, physiological and morphological characteristics of the Antarctic moss, Grimmia antarctici",2005,"Global Change …","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2005.00911.x","","10.1111/j.1365-2486.2005.00911.x",120,42,"2024-07-01 13:42:22","google,google,google,google,google,google,google,google,scopus,scopus","moss*--absorption,moss*--chlorophyll,moss*--electrontransport,moss*--leafdensity,moss*--leafthickness,moss*--light,moss*--photosynthetictissue,moss*--reflectance,moss*--chlorophyll,moss*--reflectance",42
"43","G Tabors, G Brūmelis, L Lapina, G Pospelova…","Changes in element concentrations in moss segments after cross-transplanting between a polluted and non-polluted site",2004,"Journal of atmospheric …","https://link.springer.com/article/10.1007/s10874-004-1224-9","","10.1007/s10874-004-1224-9",23,43,"2024-07-01 13:42:22","google","moss*--absorption",43
"44","KS Low, CK Lee","Cadmium uptake by the moss, Calymperes delessertii, Besch",1991,"Bioresource technology","https://www.sciencedirect.com/science/article/pii/0960852491902145","","",176,44,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--height",44
"45","M Khajevand, S Azizian…","Naturally abundant green moss for highly efficient solar thermal generation of clean water",2021,"ACS Applied Materials & …","https://pubs.acs.org/doi/abs/10.1021/acsami.1c06810","","10.1021/acsami.1c06810",34,45,"2024-07-01 13:42:22","google","moss*--absorption",45
"46","A Carballeira, JÁ Fernández, JR Aboal, C Real…","Moss: A powerful tool for dioxin monitoring",2006,"Atmospheric …","https://www.sciencedirect.com/science/article/pii/S135223100600495X","","",43,46,"2024-07-01 13:42:22","google","moss*--absorption",46
"47","SL Atkin, S Barrier, Z Cui, PDI Fletcher…","UV and visible light screening by individual sporopollenin exines derived from Lycopodium clavatum (club moss) and Ambrosia trifida (giant ragweed)",2011,"… of Photochemistry and …","https://www.sciencedirect.com/science/article/pii/S1011134410002551","HTML","",74,47,"2024-07-01 13:42:22","google,google,google","moss*--absorption,moss*--light,moss*--scattering",47
"48","JA Fernández, A Ederra, E Núñez…","Biomonitoring of metal deposition in northern Spain by moss analysis",2002,"Science of the Total …","https://www.sciencedirect.com/science/article/pii/S0048969702002309","","",121,48,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--distribution",48
"49","TGA Green, D Kulle, S Pannewitz, LG Sancho…","UV-A protection in mosses growing in continental Antarctica",2005,"Polar biology","https://link.springer.com/article/10.1007/s00300-005-0011-7","HTML","10.1007/s00300-005-0011-7",66,49,"2024-07-01 13:42:22","google,google,google,google,google","moss*--absorption,moss*--chlorophyll,moss*--electrontransport,moss*--photosystem,moss*--reflectance",49
"50","R Bargagli","Moss and lichen biomonitoring of atmospheric mercury: a review",2016,"Science of the Total Environment","https://www.sciencedirect.com/science/article/pii/S0048969716316564","","",155,50,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--distribution",50
"51","S Kim, J Park, S Kim, Y Lee, S Ahn, J Cho, M Ju…","Free-carrier absorption and Burstein–Moss shift effect on quantum efficiency in heterojunction silicon solar cells",2014,"Vacuum","https://www.sciencedirect.com/science/article/pii/S0042207X14001742","","",15,51,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--scattering",51
"52","Y Levesque, S Cote, D Gallagher","Method for evaluating the potential of sphagnum moss material for absorbing liquid",1997,"US Patent 5,661,997","https://patents.google.com/patent/US5661997A/en","","",1,52,"2024-07-01 13:42:22","google","moss*--absorption",52
"53","YX Zhang, T Cao, I Atsuo, QC Cao, YX Lou…","Study of moss as air pollution monitor by SRXRF technique",2009,"Chinese science …","https://link.springer.com/article/10.1007/s11434-009-0320-2","","10.1007/s11434-009-0320-2",9,53,"2024-07-01 13:42:22","google","moss*--absorption",53
"54","KE Van Gaalen, LB Flanagan, DR Peddle","Photosynthesis, chlorophyll fluorescence and spectral reflectance in Sphagnum moss at varying water contents",2007,"Oecologia","https://link.springer.com/article/10.1007/s00442-007-0718-y","HTML","10.1007/s00442-007-0718-y",116,54,"2024-07-01 13:42:22","google,google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--chlorophyll,moss*--conductance,moss*--light,moss*--photosynthesis,moss*--photosynthetictissue,moss*--photosystem,moss*--reflectance,moss*--respiration,moss*--rubisco,moss*--watercontent,moss*--chlorophyll,moss*--photosynthesis,moss*--photosystem,moss*--reflectance,moss*--watercontent",54
"55","G Chauvette, M Roy","Liquid absorbent sphagnum moss article and method for manufacturing the absorbent article",1998,"US Patent 5,718,697","https://patents.google.com/patent/US5718697A/en","","",15,55,"2024-07-01 13:42:22","google","moss*--absorption",55
"56","NM Lappalainen, S Huttunen…","Acclimation of a pleurocarpous moss Pleurozium schreberi (Britt.) Mitt. to enhanced ultraviolet radiation in situ",2008,"Global Change …","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2007.01489.x","","10.1111/j.1365-2486.2007.01489.x",40,56,"2024-07-01 13:42:22","google,google,google","moss*--absorption,moss*--chlorophyll,moss*--light",56
"57","WE Corfitzen","A study of the effect of silt on absorbing light which promotes the growth of algae and moss in canals",1939,"","https://books.google.com/books?hl=en&lr=&id=spHPlZWV-34C&oi=fnd&pg=PA2&dq=moss*+absorption&ots=4sNCM1tetn&sig=cGDGDgyQDuWp5BlQ6YzVVuY2XSI","BOOK","",5,57,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--light",57
"58","PV Kamat, NM Dimitrijevic, AJ Nozik","Dynamic Burstein-Moss shift in semiconductor colloids",1989,"The Journal of Physical …","https://pubs.acs.org/doi/pdf/10.1021/j100345a003","","10.1021/j100345a003",231,58,"2024-07-01 13:42:22","google,google,scopus","moss*--absorption,moss*--quantumyield,moss*--light",58
"59","M Fernández‐Martínez, F Berloso, J Corbera…","Towards a moss sclerophylly continuum: Evolutionary history, water chemistry and climate control traits of hygrophytic mosses",2019,"Functional …","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13443","","10.1111/1365-2435.13443",22,59,"2024-07-01 13:42:22","google,google,google","moss*--absorption,moss*--distribution,moss*--leafmass",59
"60","GP Moss, DR Gullick, SC Wilkinson","Predictive methods in percutaneous absorption",2015,"","https://link.springer.com/content/pdf/10.1007/978-3-662-47371-9.pdf","","10.1007/978-3-662-47371-9",39,60,"2024-07-01 13:42:22","google","moss*--absorption",60
"61","P Świsłowski, A Nowak, M Rajfur","Is your moss alive during active biomonitoring study?",2021,"Plants","https://www.mdpi.com/2223-7747/10/11/2389","HTML","",11,61,"2024-07-01 13:42:22","google,google,google,google,google,scopus","moss*--absorption,moss*--leafthickness,moss*--light,moss*--photosystem,moss*--quantumyield,moss*--photosystem",61
"62","LJ Clarke, SA Robinson","Cell wall‐bound ultraviolet‐screening compounds explain the high ultraviolet tolerance of the Antarctic moss, Ceratodon purpureus",2008,"New phytologist","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2008.02499.x","","10.1111/j.1469-8137.2008.02499.x",134,62,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--light",62
"63","S Angelovska, T Stafilov, B Balabanova…","Applicability of Atomic Emission and Atomic Absorption Spectrometry for Variability Assessment of Trace and Macro-Elements Content in Moss Species from Pb-Zn …",2014,"Modern Chemistry & …","http://eprints.ugd.edu.mk/11264/","","",4,63,"2024-07-01 13:42:22","google","moss*--absorption",63
"64","AG González, F Jimenez-Villacorta, AK Beike…","Chemical and structural characterization of copper adsorbed on mosses (Bryophyta)",2016,"Journal of Hazardous …","https://www.sciencedirect.com/science/article/pii/S0304389416300607","","",25,64,"2024-07-01 13:42:22","google,scopus","moss*--absorption,moss*--carboxylation",64
"65","C Reimann, H Niskavaara, G Kashulina…","Critical remarks on the use of terrestrial moss (Hylocomium splendens and Pleurozium schreberi) for monitoring of airborne pollution",2001,"Environmental …","https://www.sciencedirect.com/science/article/pii/S0269749100001561","","",150,65,"2024-07-01 13:42:22","google","moss*--absorption",65
"66","M Cesa, A Bizzotto, C Ferraro, F Fumagalli…","Assessment of intermittent trace element pollution by moss bags",2006,"Environmental …","https://www.sciencedirect.com/science/article/pii/S0269749106000972","","",50,66,"2024-07-01 13:42:22","google","moss*--absorption",66
"67","Z Varela, MT Boquete, JA Fernández…","Mythbusters: Unravelling the pollutant uptake processes in mosses for air quality biomonitoring",2023,"Ecological …","https://www.sciencedirect.com/science/article/pii/S1470160X23002376","HTML","",13,67,"2024-07-01 13:42:22","google,scopus","moss*--absorption,moss*--rhizoid",67
"68","RR Reddy, YN Ahammed","A study on the Moss relation",1995,"Infrared physics &technology","https://www.sciencedirect.com/science/article/pii/135044959500008M","","",142,68,"2024-07-01 13:42:22","google","moss*--absorption",68
"69","BJ Nebel","Action spectra for photogrowth and phototropism in protonemata of the moss Physcomitrium turbinatum",1968,"Planta","https://link.springer.com/article/10.1007/BF00391164","","10.1007/BF00391164",33,69,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--light",69
"70","JL Dunn, SA Robinson","Ultraviolet B screening potential is higher in two cosmopolitan moss species than in a co‐occurring Antarctic endemic moss: implications of continuing ozone …",2006,"Global change biology","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2006.01283.x","","10.1111/j.1365-2486.2006.01283.x",74,70,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--albedo",70
"71","N Wu, Y Zhang, A Downing, ZT Aanderud…","Rapid adjustment of leaf angle explains how the desert moss, Syntrichia caninervis, copes with multiple resource limitations during rehydration",2013,"Functional Plant …","https://www.publish.csiro.au/FP/FP13054","","",40,71,"2024-07-01 13:42:22","google,google,google,google,google,google,google,google","moss*--absorption,moss*--chlorophyll,moss*--functionaltrait,moss*--light,moss*--quantumyield,moss*--reflectance,moss*--watercontent,moss*--waterpotential",71
"72","DS Polyakov, EB Yakovlev","Influence of Burstein–Moss effect on photoexcitation and heating of silicon by short and ultrashort laser pulses at wavelength 1.06",2018,"Applied Physics A","https://link.springer.com/article/10.1007/s00339-018-2225-x","HTML","10.1007/s00339-018-2225-x",11,72,"2024-07-01 13:42:22","google","moss*--absorption",72
"73","S Marinova, L Yurukova, MV Frontasyeva…","Air pollution studies in Bulgaria using the moss biomonitoring technique",2010,"Ecol Chem …","https://www.academia.edu/download/96024212/MarinovaYurukova_17S1.pdf","PDF","",36,73,"2024-07-01 13:42:22","google","moss*--absorption",73
"74","U Heber, W Bilger, VA Shuvalov","Thermal energy dissipation in reaction centres and in the antenna of photosystem II protects desiccated poikilohydric mosses against photo-oxidation",2006,"Journal of experimental …","https://academic.oup.com/jxb/article-abstract/57/12/2993/443145","","",111,74,"2024-07-01 13:42:22","google,google,google,google,scopus,scopus,scopus","moss*--absorption,moss*--chlorophyll,moss*--electrontransport,moss*--photosystem,moss*--chlorophyll,moss*--electrontransport,moss*--photosystem",74
"75","M Niemelä, P Perämäki, J Piispanen","Microwave sample-digestion procedure for determination of arsenic in moss samples using electrothermal atomic absorption spectrometry and inductively …",2003,"Analytical and bioanalytical …","https://link.springer.com/article/10.1007/s00216-003-1776-6","HTML","10.1007/s00216-003-1776-6",18,75,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--phosphorus",75
"76","P Julinova, D Beckovsky","Perspectives of moss species in urban ecosystems and vertical living-architecture: A review",2019,"Advances in Engineering Materials …","https://www.taylorfrancis.com/chapters/edit/10.1201/9780429426506-408/perspectives-moss-species-urban-ecosystems-vertical-living-architecture-review-julinova-beckovsky","","10.1201/9780429426506-408",9,76,"2024-07-01 13:42:22","google,google,google","moss*--absorption,moss*--light,moss*--rhizoid",76
"77","WW Anderson","Absorption constant of Pb1− xSnxTe and Hg1− xCdxTe alloys",1980,"Infrared Physics","https://www.sciencedirect.com/science/article/pii/0020089180900536","","",267,77,"2024-07-01 13:42:22","google","moss*--absorption",77
"78","N Bykowszczenko, I Baranowska-Bosiacka…","Determination of heavy metal concentration in mosses of Słowiński National Park using atomic absorption spectrometry and neutron activation analysis …",2006,"Polish Journal of …","http://www.pjoes.com/pdf-87842-21701?filename=21701.pdf","PDF","",31,78,"2024-07-01 13:42:22","google","moss*--absorption",78
"79","E Steinnes, JE Hanssen, JP Rambæk…","Atmospheric deposition of trace elements in Norway: temporal and spatial trends studied by moss analysis",1994,"Water, Air, and Soil …","https://link.springer.com/article/10.1007/BF01257151","","10.1007/BF01257151",203,79,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--distribution",79
"80","T Taipale, S Huttunen","Moss flavonoids and their ultrastructural localization under enhanced UV-B radiation",2002,"Polar record","https://www.cambridge.org/core/journals/polar-record/article/moss-flavonoids-and-their-ultrastructural-localization-under-enhanced-uvb-radiation/D9BE6A8704C683C1DE09985FA864DE58","","",27,80,"2024-07-01 13:42:22","google","moss*--absorption",80
"81","Q Fu, J Liang, J Lai, X Luo","Radon adsorption and air purification by Spanish moss (Tillandsia usneoides) and its metabolic response to radon exposure",2023,"Environmental Pollution","https://www.sciencedirect.com/science/article/pii/S0269749123007467","","",0,81,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--respiration",81
"82","MJ Waterman, AS Nugraha, R Hendra…","Antarctic moss biflavonoids show high antioxidant and ultraviolet-screening activity",2017,"Journal of Natural …","https://pubs.acs.org/doi/abs/10.1021/acs.jnatprod.7b00085","","10.1021/acs.jnatprod.7b00085",72,82,"2024-07-01 13:42:22","google","moss*--absorption",82
"83","Å Rühling, G Tyler","Changes in the atmospheric deposition of minor and rare elements between 1975 and 2000 in south Sweden, as measured by moss analysis",2004,"Environmental Pollution","https://www.sciencedirect.com/science/article/pii/S0269749104001150","","",150,83,"2024-07-01 13:42:22","google","moss*--absorption",83
"84","H Harmens, L Foan, V Simon, G Mills","Terrestrial mosses as biomonitors of atmospheric POPs pollution: a review",2013,"Environmental Pollution","https://www.sciencedirect.com/science/article/pii/S0269749112004447","","",181,84,"2024-07-01 13:42:22","google","moss*--absorption",84
"85","BJ Nebel","Responses of moss protonemata to red and far-red polarized light: evidence for disc-shaped phytochrome photoreceptors",1969,"Planta","https://link.springer.com/article/10.1007/BF00386974","","10.1007/BF00386974",27,85,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--light",85
