"","Authors","Title","Year","Source","ArticleURL","Type","DOI","Cites","GSRank","QueryDate","Database","SearchTerms","RecordID"
"11","LE DeMumbrum, ML Jackson","Infrared absorption evidence on exchange reaction mechanism of copper and zinc with layer silicate clays and peat",1956,"Soil Science Society of America …","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj1956.03615995002000030010x","","10.2136/sssaj1956.03615995002000030010x",82,11,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150010
"12","H Biester, KH Knorr, J Schellekens, A Basler…","Comparison of different methods to determine the degree of peat decomposition in peat bogs",2014,"…","https://bg.copernicus.org/articles/11/2691/2014/","","",179,12,"2024-07-23 08:31:28","google,google,google,google,google,google,google,google,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--carboxylation,peat--carboxylation,peat--distribution,peat--light,peat--reflectance,peat--absorption,peat--carboxylation",150011
"13","LD Bilings","Absorbent material with wood and peat",1993,"US Patent 5,271,355","https://patents.google.com/patent/US5271355A/en","","",19,13,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150012
"14","J Kruse, P Leinweber","Phosphorus in sequentially extracted fen peat soils: AK‐edge X‐ray absorption near‐edge structure (XANES) spectroscopy study",2008,"Journal of Plant Nutrition and Soil …","https://onlinelibrary.wiley.com/doi/abs/10.1002/jpln.200700237","","10.1002/jpln.200700237",93,14,"2024-07-23 08:31:28","google,google,google,scopus,scopus","peat--absorption,peat--absorption,peat--phosphorus,peat--absorption,peat--phosphorus",150013
"15","S Deboucha, R Hashim","Correlation between total water absorption and wet compressive strength of compressed stabilised peat bricks",2011,"International Journal of Physical …","http://eprints.um.edu.my/8825/","","",12,15,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150014
"16","O Misnikov","Perspectives for application of moulded sorption materials based on peat and mineral compositions",2017,"E3S Web of Conferences","https://www.e3s-conferences.org/articles/e3sconf/abs/2017/09/e3sconf_2iims2017_01020/e3sconf_2iims2017_01020.html","","",20,16,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150015
"17","JH Campbell, WJ Skilling","Absorption of hydrogen sulphide by peat in the presence of ammonia",1950,"Journal of the Society of Chemical …","https://scijournals.onlinelibrary.wiley.com/doi/abs/10.1002/jctb.5000690506","","10.1002/jctb.5000690506",4,17,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150016
"18","AT Sakya, WS Dewi","Growth and P absorption of Fibraurea tinctoria lour in peat soil with an amendment",2021,"IOP Conference Series: Earth and …","https://iopscience.iop.org/article/10.1088/1755-1315/905/1/012099/meta","","10.1088/1755-1315/905/1/012099",1,18,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150017
"19","P Langner, C Mikutta, E Suess…","Spatial distribution and speciation of arsenic in peat studied with microfocused X-ray fluorescence spectrometry and X-ray absorption spectroscopy",2013,"… science &technology","https://pubs.acs.org/doi/abs/10.1021/es401315e","","10.1021/es401315e",83,19,"2024-07-23 08:31:28","google,google,google,scopus","peat--absorption,peat--absorption,peat--distribution,peat--absorption",150018
"20","LR Perdana, NG Ratnasari…","Hydrophilic and hydrophobic characteristics of dry peat",2018,"… Series: Earth and …","https://iopscience.iop.org/article/10.1088/1755-1315/105/1/012083/meta","","10.1088/1755-1315/105/1/012083",33,20,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150019
"21","JM McMorrow, MEJ Cutler, MG Evans…","Hyperspectral indices for characterizing upland peat composition",2004,"International Journal of …","https://www.tandfonline.com/doi/abs/10.1080/0143116031000117065","","10.1080/0143116031000117065",53,21,"2024-07-23 08:31:28","google,google,google,google,google,scopus,scopus","peat--absorption,peat--absorption,peat--albedo,peat--chlorophyll,peat--reflectance,peat--absorption,peat--reflectance",150020
"22","BBK Huat, S Kazemian, A Prasad…","State of an art review of peat: General perspective",2011,"International Journal of …","https://academicjournals.org/article/article1380729210_Huat%20et%20al.pdf","PDF","",173,22,"2024-07-23 08:31:28","google,google,google,google,google,google,scopus","peat--absorption,peat--absorption,peat--bulkdensity,peat--distribution,peat--soil,peat--watercontent,peat--bulkdensity",150021
"23","M Krachler, W Shotyk, H Emons","Digestion procedures for the determination of antimony and arsenic in small amounts of peat samples by hydride generation–atomic absorption spectrometry",2001,"Analytica Chimica Acta","https://www.sciencedirect.com/science/article/pii/S0003267000013647","","",75,23,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150022
"24","HS Nguyen, M Tashiro, M Inagaki, S Yamada…","… drains/vacuum consolidation on peat ground under embankment loading based on a macro-element method with water absorption and discharge functions",2015,"Soils and …","https://www.sciencedirect.com/science/article/pii/S0038080615001092","HTML","",17,24,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150023
"25","I Peltola","Use of peat as litter for milking cows",1986,"Odour prevention and control of organic sludge and …","https://www.taylorfrancis.com/chapters/edit/10.1201/9781482286311-28/use-peat-litter-milking-cows-peltola","","10.1201/9781482286311-28",27,25,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150024
"26","AT Sakya, J Syamsiyah, D Panji","The application of amendments to increase nutrients absorption of Petiveria aleaceae L.(Singawalang) in peat soils",2019,"IOP Conference Series: Earth …","https://iopscience.iop.org/article/10.1088/1755-1315/250/1/012017/meta","","10.1088/1755-1315/250/1/012017",1,26,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--chlorophyll",150025
"27","Y ITANI, T HARA, Y FUJIME…","Effects of CO2 enrichment and planting density on the yield, fruit quality and absorption of water and mineral nutrients in strawberry grown in peat bag culture",1999,"Environment Control in …","https://www.jstage.jst.go.jp/article/ecb1963/37/3/37_3_171/_article/-char/ja/","","",11,27,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150026
"28","C Lee, J Kim","Water absorption analysis of a peat‐perlite horticultural substrate in response to various subirrigation conditions using a thermal imaging camera",2021,"Horticulture, Environment, and Biotechnology","https://link.springer.com/article/10.1007/s13580-021-00338-x","","10.1007/s13580-021-00338-x",9,28,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150027
"29","C Lin, S Dou, MGMA El-Rahim, X Liu, D Wu, R Ma…","Application of Corn Straw and Woody Peat to Improve the Absorption and Utilization of 15N-Urea by Maize",2022,"Sustainability","https://www.mdpi.com/2071-1050/14/2/820","HTML","",4,29,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150028
"30","LB Naumova, LA Egorova, AA Slivinskaya","A study of the influence of modifying iron and aluminum chloride additives on the water-absorbing capacity and thermal stability of peat",2006,"Russian journal of applied …","https://link.springer.com/article/10.1134/S1070427206020133","","10.1134/S1070427206020133",2,30,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150029
"31","JJ Blackford, FM Chambers","Determining the degree of peat decomposition for peat-based paleoclimatic studies",1993,"International Peat Journal;(Finland)","https://www.osti.gov/etdeweb/biblio/7153254","","",319,31,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--light",150030
"32","KJ Hargreaves, R Milne, MGR Cannell","Carbon balance of afforested peatland in Scotland",2003,"Forestry","https://academic.oup.com/forestry/article-abstract/76/3/299/567425","","",221,32,"2024-07-23 08:31:28","google,google,google,google","peat--absorption,peat--absorption,peat--carbon,peat--photosynthesis",150031
"33","ME Walmsley","Physical and chemical properties of peat",1977,"Muskeg and the Northern Environment in Canada","https://www.degruyter.com/document/doi/10.3138/9781487584719-008/pdf?licenseType=restricted","","10.3138/9781487584719-008",28,33,"2024-07-23 08:31:28","google,google,google,google,google","peat--absorption,peat--absorption,peat--conductance,peat--heatconduction,peat--watercontent",150032
"34","OS Misnikov, AE Timofeev, OV Pukhova","Preparation of molded sorption materials based on peat-mineral compositions",2015,"Polymer Science Series D","https://link.springer.com/article/10.1134/S1995421215010098","","10.1134/S1995421215010098",16,34,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150033
"35","IN Zubov, AS Orlov, AN Popov, TI Ponomareva…","Evaluation of the Oil Absorption Capacity and Calorific Value of High-Moor Peat from the European North of Russia",2022,"Solid Fuel …","https://link.springer.com/article/10.3103/S0361521922050123","","10.3103/S0361521922050123",2,35,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150034
"36","E Pagans, X Font, A Sánchez","Adsorption, absorption, and biological degradation of ammonia in different biofilter organic media",2007,"Biotechnology and …","https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/bit.21246","","10.1002/bit.21246",68,36,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150035
"37","D Delicato","Physical-chemical properties and sorption characteristics of peat",1996,"","https://doras.dcu.ie/18494/","","",26,37,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150036
"38","RR Black, J Aurell, A Holder, IJ George…","Characterization of gas and particle emissions from laboratory burns of peat",2016,"Atmospheric …","https://www.sciencedirect.com/science/article/pii/S1352231016301376","","",42,38,"2024-07-23 08:31:28","google,google,google,scopus","peat--absorption,peat--absorption,peat--light,peat--absorption",150037
"39","F Qin, B Wen, XQ Shan, YN Xie, T Liu, SZ Zhang…","Mechanisms of competitive adsorption of Pb, Cu, and Cd on peat",2006,"Environmental …","https://www.sciencedirect.com/science/article/pii/S0269749106000613","","",330,39,"2024-07-23 08:31:28","google,google,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--soil",150038
"40","M Klavins, I Silamikele, O Nikodemus, L Kalnina…","Peat properties, major and trace element accumulation in bog peat in Latvia",2009,"Baltica","https://www.academia.edu/download/80817804/129_d8e9bb266706a49a98e43b26ba385b27.pdf","PDF","",29,40,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150039
"41","G Cresswell","Coir dust a proven alternative to peat",2002,"Proceedings of the Austral. Potting Mix …","http://baniameri.entomology.ir/SciRef/SciRefEng02.pdf","PDF","",112,41,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150040
"42","S Glatzel, K Kalbitz, M Dalva, T Moore","Dissolved organic matter properties and their relationship to carbon dioxide efflux from restored peat bogs",2003,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706102003725","","",191,42,"2024-07-23 08:31:28","google,google,google,scopus,scopus","peat--absorption,peat--absorption,peat--carbon,peat--absorption,peat--respiration",150041
"43","M Ayuso, T Hernandez, C Garcia, JA Pascual","Stimulation of barley growth and nutrient absorption by humic substances originating from various organic materials",1996,"Bioresource Technology","https://www.sciencedirect.com/science/article/pii/S0960852496000648","","",239,43,"2024-07-23 08:31:28","google,google,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--phosphorus",150042
"44","AP Dachnowski-Stokes","Peat land as a conserver of rainfall and water supplies",1935,"Ecology","https://www.jstor.org/stable/1932424","","",13,44,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--light",150043
"45","D Drzymulska","Peat decomposition–shaping factors, significance in environmental studies and methods of determination; a literature review",2016,"Geologos","https://sciendo.com/article/10.1515/logos-2016-0005","","10.1515/logos-2016-0005",43,45,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--light",150044
"46","KA Brown, JF MacQueen","Sulphate uptake from surface water by peat",1985,"Soil Biology and Biochemistry","https://www.sciencedirect.com/science/article/pii/0038071785900021","","",47,46,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150045
"47","PM Hayward, RS Clymo","Profiles of water content and pore size in Sphagnum and peat, and their relation to peat bog ecology",1982,"… of the Royal Society of London …","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.1982.0044","","10.1098/rspb.1982.0044",394,47,"2024-07-23 08:31:28","google,google,google,google,google,google,google,google,scopus","peat--absorption,peat--absorption,peat--bulkdensity,peat--conductance,peat--distribution,peat--height,peat--watercontent,peat--waterpotential,peat--watercontent",150046
"48","J Krumins, M Klavins, V Seglins…","Comparative study of peat composition by using FT-IR spectroscopy",2012,"Rigas Tehniskas …","https://search.proquest.com/openview/624f57583ef333ddb61ec52405ff4d08/1?pq-origsite=gscholar&cbl=626465","","",46,48,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--carboxylation",150047
"49","S Notodarmojo, M Qadafi, Y Zevi","Absorbance spectral slopes for monitoring tropical peat water dissolved organic matter fractions during microbubble pre‐ozonation",2023,"CLEAN–Soil, Air, Water","https://onlinelibrary.wiley.com/doi/abs/10.1002/clen.202300122","","10.1002/clen.202300122",3,49,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150048
"50","CSE Papp, LB Fischer","Application of microwave digestion to the analysis of peat",1987,"Analyst","https://pubs.rsc.org/en/content/articlehtml/1987/an/an9871200337","","",53,50,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150049
"51","MP Sartakov, AA Novikov…","The adsorption capacity of peat humic acids of the Middle Ob region",2017,"Indian Journal …","https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2017/Issue-1/Article19.pdf","PDF","",4,51,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150050
"52","N Kitir, E Yildirim, Ü Şahin, M Turan, M Ekinci, S Ors…","Peat use in horticulture",2018,"","https://books.google.com/books?hl=en&lr=&id=9GiQDwAAQBAJ&oi=fnd&pg=PA75&dq=peat+absorption&ots=ObebrZA9me&sig=4-_spKzYC5IDMmnP1dMieY3r3Ec","BOOK","",46,52,"2024-07-23 08:31:28","google,google,google,google,google,google","peat--absorption,peat--absorption,peat--bulkdensity,peat--leafarea,peat--light,peat--soil",150051
"53","AA Kovalev, ZA Nichiporovich","Spectrophotometric Characteristics of Peat Having Various Origins and Degrees of Decomposition",2003,"Journal of Applied Spectroscopy","https://link.springer.com/article/10.1023/A:1025125304007","","10.1023/A:1025125304007",3,53,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--light",150052
"54","IM Devangsari, M Nurudin, J Sartohadi…","Characteristics of peat functional group in Padang Island, Indonesia",2022,"IOP Conference Series …","https://iopscience.iop.org/article/10.1088/1755-1315/1005/1/012022/meta","","10.1088/1755-1315/1005/1/012022",4,54,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--carboxylation",150053
"55","A Baker, L Bolton, M Newson…","Spectrophotometric properties of surface water dissolved organic matter in an afforested upland peat catchment",2008,"… An International Journal","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.6827","","10.1002/hyp.6827",101,55,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150054
"56","J Rissanen, C Giosué, K Ohenoja, P Kinnunen…","The effect of peat and wood fly ash on the porosity of mortar",2019,"… and Building Materials","https://www.sciencedirect.com/science/article/pii/S0950061819316575","","",24,56,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150055
"57","X Huang, G Rein","Downward spread of smouldering peat fire: the role of moisture, density and oxygen supply",2017,"International Journal of Wildland Fire","https://www.publish.csiro.au/wf/WF16198","","",132,57,"2024-07-23 08:31:28","google,google,google,scopus","peat--absorption,peat--absorption,peat--bulkdensity,peat--bulkdensity",150056
"58","M Osaki, T Kato, T Kohyama, H Takahashi…","Basic information about tropical peatland ecosystems",2021,"Tropical peatland eco …","https://link.springer.com/chapter/10.1007/978-981-33-4654-3_1","","10.1007/978-981-33-4654-3_1",14,58,"2024-07-23 08:31:28","google,google,google,google,google,google,google","peat--absorption,peat--absorption,peat--carboxylation,peat--electrontransport,peat--nitrogenfixation,peat--photosystem,peat--rubisco",150057
"59","AM Beer, HE Junginger, J Lukanov…","Evaluation of the permeation of peat substances through human skin in vitro",2003,"International Journal of …","https://www.sciencedirect.com/science/article/pii/S0378517302007068","","",110,59,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150058
"60","SA Thacker, E Tipping, D Gondar, A Baker","Functional properties of DOM in a stream draining blanket peat",2008,"Science of the total …","https://www.sciencedirect.com/science/article/pii/S0048969708009455","","",25,60,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--light",150059
"61","CYM Yang","Absorbent peat moss board product",1991,"US Patent 5,053,029","https://patents.google.com/patent/US5053029A/en","","",32,61,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150060
"62","JE Peñaranda A, MA Sabino","Effect of the presence of lignin or peat in IPN hydrogels on the sorption of heavy metals",2010,"Polymer Bulletin","https://link.springer.com/article/10.1007/s00289-010-0264-3","","10.1007/s00289-010-0264-3",83,62,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150061
"63","KS Peat, KL Rathi","A finite element analysis of the convected acoustic wave motion in dissipative silencers",1995,"Journal of Sound and Vibration","https://www.sciencedirect.com/science/article/pii/S0022460X85703318","","",125,63,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150062
"64","S Suni, AL Kosunen…","Microbially treated peat-cellulose fabric as a biodegradable oil-collection cloth",2006,"Journal of Environmental …","https://www.tandfonline.com/doi/abs/10.1080/10934520600620139","","10.1080/10934520600620139",17,64,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150063
"65","CE Stockwell, T Jayarathne…","Field measurements of trace gases and aerosols emitted by peat fires in Central Kalimantan, Indonesia, during the 2015 El Niño",2016,"Atmospheric …","https://acp.copernicus.org/articles/16/11711/2016/","","",227,65,"2024-07-23 08:31:28","google,google,google,google,google,google,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--albedo,peat--quantumyield,peat--reflectance,peat--scattering,peat--absorption,peat--albedo,peat--scattering",150064
"66","DV Ermolaev, SS Timofeeva, SI Islamova…","A comprehensive study of thermotechnical and thermogravimetric properties of peat for power generation",2019,"Biomass Conversion …","https://link.springer.com/article/10.1007/s13399-019-00472-8","","10.1007/s13399-019-00472-8",14,66,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150065
"67","LBL Lim, N Priyantha, DTB Tennakoon…","Sorption characteristics of peat of Brunei Darussalam I: characterization of peat and adsorption equilibrium studies of methylene blue—peat interactions",2013,"Ceylon Journal of …","https://www.researchgate.net/profile/Linda-Lim-3/publication/285076842_Sorption_characteristics_of_peat_of_Brunei_Darussalam_I_characterization_of_peat_and_adsorption_equilibrium_studies_of_methylene_blue-peat_interactions/links/58b4383245851503bea01cb7/Sorption-characteristics-of-peat-of-Brunei-Darussalam-I-characterization-of-peat-and-adsorption-equilibrium-studies-of-methylene-blue-peat-interactions.pdf","PDF","",29,67,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150066
"68","S SUZUKI, T ISHIDA, T NAGANO…","Influences of deforestation on carbon balance in a natural tropical peat swamp forest in Thailand",1999,"Environment Control in …","https://www.jstage.jst.go.jp/article/ecb1963/37/2/37_2_115/_article/-char/ja/","","",52,68,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150067
"69","M Ohtsubo, K Konishi…","Evaluation of oil absorbing ability for peat using a column test",2012,"Contaminated …","https://asmedigitalcollection.asme.org/astm-ebooks/book/chapter-pdf/7214772/10_1520_stp104244.pdf","","",0,69,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150068
"70","M Hoffmann, C Mikutta…","Bisulfide reaction with natural organic matter enhances arsenite sorption: insights from X-ray absorption spectroscopy",2012,"Environmental science & …","https://pubs.acs.org/doi/abs/10.1021/es302590x","","10.1021/es302590x",111,70,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150069
"71","P Boguta, Z Sokolowska","Statistical relationship between selected physicochemical properties of peaty-muck soils and their fraction of humic acids",2014,"International Agrophysics","http://archive.sciendo.com/INTAG/intag.2014.28.issue-3/intag-2014-0017/intag-2014-0017.pdf","PDF","",25,71,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150070
"72","M Othman, MT Latif","Dust and gas emissions from small-scale peat combustion",2013,"Aerosol and Air Quality Research","https://aaqr.org/articles/aaqr-12-08-oa-0214.pdf","PDF","",43,72,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150071
"73","T Tanoshima","Culture soil, process for producing the same, and seedling-growing peat board",1998,"US Patent 5,759,225","https://patents.google.com/patent/US5759225A/en","","",17,73,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150072
"74","TS Hagen, TJ Malterer","Peat pellets",2002,"US Patent 6,455,149","https://patents.google.com/patent/US6455149B1/en","","",15,74,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150073
"75","J Holden","Peatland hydrology and carbon release: why small-scale process matters",2005,"… Transactions of the Royal Society A …","https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2005.1671","","10.1098/rsta.2005.1671",576,75,"2024-07-23 08:31:28","google,google,google,scopus,scopus","peat--absorption,peat--absorption,peat--carbon,peat--carbon,peat--soil",150074
"76","R Paleckiene, R Navikaite, R Slinksiene","Peat as a raw material for plant nutrients and humic substances",2021,"Sustainability","https://www.mdpi.com/2071-1050/13/11/6354","HTML","",12,76,"2024-07-23 08:31:28","google,google,google,google","peat--absorption,peat--absorption,peat--phosphorus,peat--phosphorus",150075
"77","LB Naumova, VN Batalova, NP Gorlenko…","Creation of functional solid-state composites based on black peat",2015,"IOP Conference …","https://iopscience.iop.org/article/10.1088/1757-899X/71/1/012038/meta","","10.1088/1757-899X/71/1/012038",6,77,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150076
"78","J Heiskanen","Physical properties of two-component growth media based on Sphagnum peat and their implications for plant-available water and aeration",1995,"Plant and Soil","https://link.springer.com/article/10.1007/BF00020858","","10.1007/BF00020858",114,78,"2024-07-23 08:31:28","google,google,google,google,google,scopus","peat--absorption,peat--absorption,peat--light,peat--watercontent,peat--waterpotential,peat--watercontent",150077
"79","O Matsuska, O Suchorska…","The ability of peat in adsorption of biogenic elements from water environment",2020,"Journal of Ecological …","https://bibliotekanauki.pl/articles/124877.pdf","PDF","",5,79,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150078
"80","AJ Schilstra","How sustainable is the use of peat for commercial energy production?",2001,"Ecological Economics","https://www.sciencedirect.com/science/article/pii/S0921800901002166","","",60,80,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--carbon",150079
"81","R Klöcking, Y Felber, M Guhr, G Meyer, R Schubert…","Development of an innovative peat lipstick based on the UV-B protective effect of humic substances.",2013,"… & Peat","http://pixelrauschen.de/wbmp/media/map11/map_11_03.pdf","PDF","",24,81,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150080
"82","G Verasoundarapandian, NN Zakaria, NA Shaharuddin…","Coco peat as agricultural waste sorbent for sustainable diesel-filter system",2021,"Plants","https://www.mdpi.com/2223-7747/10/11/2468","HTML","",12,82,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150081
"83","K Kalbitz","Properties of organic matter in soil solution in a German fen area as dependent on land use and depth",2001,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706101000817","","",111,83,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150082
"84","MW Marashdeh, H Saleh","Mass attenuation coefficient of olive peat material for absorbing gamma ray energy",2019,"Nuclear Science and Techniques","https://link.springer.com/article/10.1007/s41365-019-0637-8","","10.1007/s41365-019-0637-8",2,84,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150083
"85","CSE Papp, TF Harms","Comparison of digestion methods for total elemental analysis of peat and separation of its organic and inorganic components",1985,"Analyst","https://pubs.rsc.org/en/content/articlehtml/1985/an/an9851000237","","",24,85,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150084
"86","HW Hagemann, J Dehmer","Spectrophotometric lightness and chromaticity measurements on absorbing peat and brown coal surfaces: Part I—method and evaluation",1991,"International journal of coal geology","https://www.sciencedirect.com/science/article/pii/016651629190019F","","",9,86,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--reflectance",150085
"87","IC Feustel","The acidic properties of peat and muck",1939,"","https://ageconsearch.umn.edu/record/168462/files/tb690.pdf","PDF","",11,87,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150086
