"","Authors","Title","Year","Source","ArticleURL","Type","DOI","Cites","GSRank","QueryDate","Database","SearchTerms","RecordID"
"11","GJ Kidron","The role of biocrust-induced exopolymeric matrix in runoff generation in arid and semiarid zones–a mini review",2021,"Journal of Hydrology and Hydromechanics","https://sciendo.com/article/10.2478/johh-2021-0028","HTML","10.2478/johh-2021-0028",17,11,"2024-07-18 08:37:38","google,google,google,google,google","biocrust--absorption,biocrust--albedo,biocrust--chlorophyll,biocrust--scattering,biocrust--watercontent",130010
"12","K Yang, Y Zhao, L Gao, H Sun, K Gu","Nonlinear response of hydrodynamic and soil erosive behaviors to biocrust coverage in drylands",2022,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706121005371","","",28,12,"2024-07-18 08:37:38","google,google,google,google,google,google,google","biocrust--absorption,biocrust--carbon,biocrust--distribution,biocrust--height,biocrust--light,biocrust--nitrogen,biocrust--soil",130011
"13","JR Román, B Roncero-Ramos, E Rodríguez-Caballero…","Effect of water availability on induced cyanobacterial biocrust development",2021,"Catena","https://www.sciencedirect.com/science/article/pii/S0341816220305385","","",28,13,"2024-07-18 08:37:38","google,google,google,scopus,scopus","biocrust--absorption,biocrust--chlorophyll,biocrust--reflectance,biocrust--absorption,biocrust--chlorophyll",130012
"14","ZT Aanderud, TB Smart, N Wu, AS Taylor…","Fungal loop transfer of nitrogen depends on biocrust constituents and nitrogen form",2018,"…","https://bg.copernicus.org/articles/15/3831/2018/bg-15-3831-2018.html","HTML","",24,14,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google","biocrust--absorption,biocrust--bulkdensity,biocrust--carbon,biocrust--distribution,biocrust--height,biocrust--light,biocrust--nitrogen,biocrust--phosphorus,biocrust--respiration,biocrust--rhizoid,biocrust--waterpotential",130013
"15","F Sun, B Xiao, GJ Kidron, JL Heitman","Insights about biocrust effects on soil gas transport and aeration in drylands: Permeability, diffusivity, and their connection to hydraulic conductivity",2022,"Geoderma","https://www.sciencedirect.com/science/article/pii/S001670612200444X","HTML","",13,15,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus","biocrust--absorption,biocrust--bulkdensity,biocrust--carbon,biocrust--chlorophyll,biocrust--distribution,biocrust--height,biocrust--light,biocrust--nitrogen,biocrust--photosynthesis,biocrust--respiration,biocrust--rhizoid,biocrust--soil,biocrust--watercontent,biocrust--bulkdensity,biocrust--respiration,biocrust--watercontent",130014
"16","S Maier, A Tamm, D Wu, J Caesar, M Grube…","Photoautotrophic organisms control microbial abundance, diversity, and physiology in different types of biological soil crusts",2018,"The ISME …","https://academic.oup.com/ismej/article-abstract/12/4/1032/7475477","","",215,16,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus,scopus","biocrust--absorption,biocrust--carbon,biocrust--chlorophyll,biocrust--communitycomposition,biocrust--distribution,biocrust--light,biocrust--nitrogen,biocrust--nitrogenfixation,biocrust--photosynthesis,biocrust--respiration,biocrust--soil,biocrust--carbon,biocrust--communitycomposition,biocrust--respiration,biocrust--soil",130015
"17","S Li, B Xiao, F Sun, GJ Kidron","Moss-dominated biocrusts enhance water vapor sorption capacity of surface soil and increase non-rainfall water deposition in drylands",2021,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706121000045","","",41,17,"2024-07-18 08:37:38","google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--height,biocrust--rhizoid,biocrust--watercontent,biocrust--waterpotential,biocrust--waterpotential",130016
"18","GJ Kidron, L Lichner, T Fischer, A Starinsky, D Or","Mechanisms for biocrust-modulated runoff generation–A review",2022,"Earth-Science Reviews","https://www.sciencedirect.com/science/article/pii/S0012825222001842","","",27,18,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google","biocrust--absorption,biocrust--bulkdensity,biocrust--chlorophyll,biocrust--distribution,biocrust--light,biocrust--nitrogen,biocrust--reflectance,biocrust--rhizoid,biocrust--scattering,biocrust--soil,biocrust--watercontent",130017
"19","Y Su, G Huang, J Liu","Biocrusts alleviate the aggravating C limitation in microbial respiration with increasing aridity",2023,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706122005171","HTML","",2,19,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--carbon,biocrust--chlorophyll,biocrust--communitycomposition,biocrust--nitrogen,biocrust--photosynthesis,biocrust--photosystem,biocrust--respiration,biocrust--rhizoid,biocrust--soil,biocrust--watercontent,biocrust--respiration",130018
"20","L Concostrina‐Zubiri, I Molla…","Grazing or not grazing: implications for ecosystem services provided by biocrusts in Mediterranean cork oak woodlands",2017,"Land Degradation & …","https://onlinelibrary.wiley.com/doi/abs/10.1002/ldr.2573","","10.1002/ldr.2573",67,20,"2024-07-18 08:37:38","google,google,google,scopus,scopus,scopus","biocrust--absorption,biocrust--functionaltrait,biocrust--height,biocrust--absorption,biocrust--carbon,biocrust--functionaltrait",130019
"21","G Wang, Y Yuan, J louis Morel, Z Feng, D Chen, C Lu…","Biological aqua crust mitigates metal (loid) pollution and the underlying immobilization mechanisms",2021,"Water Research","https://www.sciencedirect.com/science/article/pii/S0043135420312690","","",24,21,"2024-07-18 08:37:38","google,google","biocrust--absorption,biocrust--carboxylation",130020
"22","L Morillas, V Bellucco, ML Cascio, S Marras, D Spano…","Contribution of biological crust to soil CO2 efflux in a Mediterranean shrubland ecosystem",2017,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706116307674","","",34,22,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google","biocrust--absorption,biocrust--carbon,biocrust--chlorophyll,biocrust--height,biocrust--leafarea,biocrust--phosphorus,biocrust--photosynthesis,biocrust--respiration,biocrust--soil,biocrust--watercontent,biocrust--waterpotential",130021
"23","O Rozenstein, J Adamowski","A review of progress in identifying and characterizing biocrusts using proximal and remote sensing",2017,"… Journal of Applied Earth Observation and …","https://www.sciencedirect.com/science/article/pii/S0303243417300028","","",33,23,"2024-07-18 08:37:38","google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--albedo,biocrust--distribution,biocrust--light,biocrust--phenology,biocrust--reflectance,biocrust--scattering,biocrust--relectance",130022
"24","KD Doherty, AJ Antoninka, MA Bowker, SV Ayuso…","A novel approach to cultivate biocrusts for restoration and experimentation",2015,"Ecological …","https://www.jstor.org/stable/43441702","","",73,24,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google","biocrust--absorption,biocrust--chlorophyll,biocrust--height,biocrust--nitrogen,biocrust--nitrogenfixation,biocrust--photosynthesis,biocrust--respiration,biocrust--soil",130023
"25","M Mallen-Cooper, DJ Eldridge","Laboratory-based techniques for assessing the functional traits of biocrusts",2016,"Plant and Soil","https://link.springer.com/article/10.1007/s11104-016-2870-9","HTML","10.1007/s11104-016-2870-9",42,25,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,scopus,scopus,scopus,scopus,scopus,scopus","biocrust--absorption,biocrust--distribution,biocrust--functionaltrait,biocrust--height,biocrust--phosphorus,biocrust--respiration,biocrust--scattering,biocrust--soil,biocrust--absorption,biocrust--carbon,biocrust--functionaltrait,biocrust--height,biocrust--nitrogen,biocrust--phosphorus",130024
"26","L Kashi Zenouzi, SH Kaboli, K Khavazi…","Investigating the Effect of Biocrusts on increasing the soil's organic acids and absorbable iron in desert soils",2022,"Desert Ecosystem …","https://deej.kashanu.ac.ir/article_112740_en.html?lang=en","HTML","",0,26,"2024-07-18 08:37:38","google,google,google","biocrust--absorption,biocrust--carboxylation,biocrust--photosystem",130025
"27","GJ Kidron, T Fischer, B Xiao","The ambivalent effect of biocrusts on evaporation: Can the contradictory conclusions be explained? A review",2022,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706122001124","","",26,27,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus","biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--conductance,biocrust--distribution,biocrust--nitrogen,biocrust--phosphorus,biocrust--respiration,biocrust--soil,biocrust--watercontent,biocrust--waterpotential,biocrust--albedo,biocrust--watercontent,biocrust--waterpotential",130026
"28","E Rodríguez-Caballero, T Knerr, B Weber","Importance of biocrusts in dryland monitoring using spectral indices",2015,"Remote Sensing of …","https://www.sciencedirect.com/science/article/pii/S003442571530122X","","",56,28,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus","biocrust--absorption,biocrust--albedo,biocrust--chlorophyll,biocrust--height,biocrust--leafarea,biocrust--leafthickness,biocrust--light,biocrust--phenology,biocrust--reflectance,biocrust--watercontent,biocrust--albedo,biocrust--phenology,biocrust--relectance",130027
"29","W Dou, B Xiao, Y Wang, GJ Kidron","Contributions of three types of biocrusts to soil carbon stock and annual efflux in a small watershed of Northern Chinese Loess Plateau",2022,"Applied Soil Ecology","https://www.sciencedirect.com/science/article/pii/S0929139322002128","","",11,29,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--carbon,biocrust--chlorophyll,biocrust--distribution,biocrust--height,biocrust--nitrogen,biocrust--photosynthesis,biocrust--respiration,biocrust--soil,biocrust--watercontent,biocrust--respiration",130028
"30","F Sun, B Xiao, S Li, GJ Kidron","Towards moss biocrust effects on surface soil water holding capacity: Soil water retention curve analysis and modeling",2021,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706121002007","","",48,30,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,scopus,scopus,scopus","biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--distribution,biocrust--height,biocrust--soil,biocrust--watercontent,biocrust--waterpotential,biocrust--distribution,biocrust--watercontent,biocrust--waterpotential",130029
"31","C Panigada, G Tagliabue, E Zaady…","A new approach for biocrust and vegetation monitoring in drylands using multi-temporal Sentinel-2 images",2019,"Progress in …","https://journals.sagepub.com/doi/abs/10.1177/0309133319841903","","10.1177/0309133319841903",22,31,"2024-07-18 08:37:38","google,google,google,google,google,google,google,scopus,scopus,scopus,scopus","biocrust--absorption,biocrust--albedo,biocrust--chlorophyll,biocrust--distribution,biocrust--phenology,biocrust--reflectance,biocrust--watercontent,biocrust--absorption,biocrust--chlorophyll,biocrust--distribution,biocrust--phenology",130030
"32","JR Román, E Rodríguez-Caballero…","Spectral response analysis: An indirect and non-destructive methodology for the chlorophyll quantification of biocrusts",2019,"Remote Sensing","https://www.mdpi.com/2072-4292/11/11/1350","HTML","",36,32,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google,google,scopus,scopus","biocrust--absorption,biocrust--albedo,biocrust--albedo,biocrust--chlorophyll,biocrust--chlorophyll,biocrust--leafdensity,biocrust--leafdensity,biocrust--photosynthesis,biocrust--quantumyield,biocrust--quantumyield,biocrust--reflectance,biocrust--reflectance,biocrust--chlorophyll,biocrust--relectance",130031
"33","L Qian, J Wang, J Xiao, L Yang, L Xia, S Song…","Clay minerals accelerate the formation of indoor biocrusts: Effects and mechanism",2024,"Soil and Tillage …","https://www.sciencedirect.com/science/article/pii/S0167198724002186","","",0,33,"2024-07-18 08:37:38","google,google,google,google,google","biocrust--absorption,biocrust--chlorophyll,biocrust--nitrogen,biocrust--nitrogenfixation,biocrust--phosphorus",130032
"34","SL Drahorad, FU Jehn, RH Ellerbrock…","Soil organic matter content and its aliphatic character define the hydrophobicity of biocrusts in different successional stages",2020,"…","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.2232","","10.1002/eco.2232",11,34,"2024-07-18 08:37:38","google,google,google,google,scopus","biocrust--absorption,biocrust--carbon,biocrust--chlorophyll,biocrust--communitycomposition,biocrust--communitycomposition",130033
"35","A Karimi, A Tahmourespour, M Hoodaji","The formation of biocrust and improvement of soil properties by the exopolysaccharide-producing cyanobacterium: a biogeotechnological study",2023,"Biomass Conversion and …","https://link.springer.com/article/10.1007/s13399-022-02336-0","HTML","10.1007/s13399-022-02336-0",9,35,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--carbon,biocrust--chlorophyll,biocrust--light,biocrust--nitrogen,biocrust--nitrogenfixation,biocrust--photosynthesis,biocrust--scattering,biocrust--soil,biocrust--chlorophyll",130034
"36","S Chamizo, E Rodríguez-Caballero, MJ Moro…","Non-rainfall water inputs: A key water source for biocrust carbon fixation",2021,"Science of the total …","https://www.sciencedirect.com/science/article/pii/S0048969721033702","","",27,36,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,scopus,scopus","biocrust--absorption,biocrust--albedo,biocrust--carbon,biocrust--light,biocrust--photosynthesis,biocrust--respiration,biocrust--soil,biocrust--watercontent,biocrust--photosynthesis,biocrust--respiration",130035
"37","Y Zhao, N Wang, Z Zhang, Y Pan…","Accelerating the development of artificial biocrusts using covers for restoration of degraded land in dryland ecosystems",2021,"Land Degradation & …","https://onlinelibrary.wiley.com/doi/abs/10.1002/ldr.3714","","10.1002/ldr.3714",30,37,"2024-07-18 08:37:38","google,google,google,google,google,scopus","biocrust--absorption,biocrust--bulkdensity,biocrust--chlorophyll,biocrust--height,biocrust--light,biocrust--chlorophyll",130036
"38","K Baumann, KU Eckhardt, A Acksel, P Gros…","Contribution of biological soil crusts to soil organic matter composition and stability in temperate forests",2021,"Soil Biology and …","https://www.sciencedirect.com/science/article/pii/S0038071721001887","","",17,38,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--carbon,biocrust--communitycomposition,biocrust--light,biocrust--nitrogen,biocrust--phosphorus,biocrust--photosynthesis,biocrust--respiration,biocrust--soil,biocrust--absorption",130037
"39","H Guan, X Liu","Biocrust effects on soil infiltrability in the Mu Us Desert: Soil hydraulic properties analysis and modeling",2021,"Journal of Hydrology and Hydromechanics","https://sciendo.com/article/10.2478/johh-2021-0026","","10.2478/johh-2021-0026",10,39,"2024-07-18 08:37:38","google,google,google,google,google,google","biocrust--absorption,biocrust--chlorophyll,biocrust--distribution,biocrust--height,biocrust--soil,biocrust--watercontent",130038
"40","S Li, MA Bowker, B Xiao","Biocrust impacts on dryland soil water balance: A path toward the whole picture",2022,"Global Change Biology","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.16416","","10.1111/gcb.16416",19,40,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google","biocrust--absorption,biocrust--albedo,biocrust--carbon,biocrust--distribution,biocrust--height,biocrust--light,biocrust--nitrogen,biocrust--phosphorus,biocrust--photosynthesis,biocrust--rhizoid,biocrust--soil",130039
"41","J Blanco-Sacristán, C Panigada, G Tagliabue…","Spectral diversity successfully estimates the α-diversity of biocrust-forming lichens",2019,"Remote Sensing","https://www.mdpi.com/2072-4292/11/24/2942","HTML","",18,41,"2024-07-18 08:37:38","google,google,google,google,google,scopus,scopus","biocrust--absorption,biocrust--chlorophyll,biocrust--height,biocrust--reflectance,biocrust--scattering,biocrust--chlorophyll,biocrust--relectance",130040
"42","H Ouyang, S Lan, H Yang, C Hu","Mechanism of biocrusts boosting and utilizing non-rainfall water in Hobq Desert of China",2017,"Applied soil ecology","https://www.sciencedirect.com/science/article/pii/S0929139316307934","","",23,42,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--carbon,biocrust--distribution,biocrust--height,biocrust--light,biocrust--photosynthesis,biocrust--photosystem,biocrust--respiration,biocrust--watercontent,biocrust--light",130041
"43","W Shi, Y Pan, Y Zhang, R Hu, X Wang","The effect of different biocrusts on soil hydraulic properties in the Tengger Desert, China",2023,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706122006115","HTML","",8,43,"2024-07-18 08:37:38","google,google,google,google","biocrust--absorption,biocrust--distribution,biocrust--soil,biocrust--watercontent",130042
"44","J Yu, P Guan, X Zhang, N Ma, Y Steinberger","Biocrusts beneath replanted shrubs account for the enrichment of macro and micronutrients in semi-arid sandy land",2016,"Journal of Arid Environments","https://www.sciencedirect.com/science/article/pii/S0140196316300039","","",11,44,"2024-07-18 08:37:38","google,google,google,google,google,scopus","biocrust--absorption,biocrust--bulkdensity,biocrust--chlorophyll,biocrust--light,biocrust--phosphorus,biocrust--phosphorus",130043
"45","GJ Kidron, Y Wang, M Herzberg","Exopolysaccharides may increase biocrust rigidity and induce runoff generation",2020,"Journal of Hydrology","https://www.sciencedirect.com/science/article/pii/S0022169420305412","","",32,45,"2024-07-18 08:37:38","google,google,google,google","biocrust--absorption,biocrust--chlorophyll,biocrust--height,biocrust--scattering",130044
"46","Y Zhang, AL Aradottir, M Serpe, B Boeken","Interactions of biological soil crusts with vascular plants",2016,"Biological soil crusts: an …","https://link.springer.com/chapter/10.1007/978-3-319-30214-0_19","","10.1007/978-3-319-30214-0_19",125,46,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google","biocrust--absorption,biocrust--distribution,biocrust--light,biocrust--nitrogen,biocrust--phenology,biocrust--phosphorus,biocrust--photosynthesis,biocrust--respiration,biocrust--scattering,biocrust--soil",130045
"47","D Qiu, B Xiao, GJ Kidron","Ecohydrological influences of biocrusts and their pathways in a desert steppe ecosystem",2023,"Ecohydrology","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.2581","","10.1002/eco.2581",1,47,"2024-07-18 08:37:38","google,google,google,google,google,google","biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--height,biocrust--phosphorus,biocrust--watercontent",130046
"48","J Kakeh, M Gorji, MH Mohammadi, H Asadi, F Khormali…","Biocrust islands enhance infiltration, and reduce runoff and sediment yield on a heavily salinized dryland soil",2021,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706121004092","","",18,48,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,scopus,scopus","biocrust--absorption,biocrust--bulkdensity,biocrust--dessication,biocrust--distribution,biocrust--height,biocrust--photosystem,biocrust--rhizoid,biocrust--scattering,biocrust--soil,biocrust--watercontent,biocrust--absorption,biocrust--watercontent",130047
"49","J Zhang, Y Zhang","Ecophysiological responses of the biocrust moss Syntrichia caninervis to experimental snow cover manipulations in a temperate desert of central Asia",2020,"Ecological Research","https://esj-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1440-1703.12072","","10.1111/1440-1703.12072",17,49,"2024-07-18 08:37:38","google,google,google,google,google","biocrust--absorption,biocrust--height,biocrust--light,biocrust--photosynthesis,biocrust--watercontent",130048
"50","X Li, R Hui, H Tan, Y Zhao, R Liu, N Song","Biocrust research in China: recent progress and application in land degradation control",2021,"Frontiers in Plant Science","https://www.frontiersin.org/articles/10.3389/fpls.2021.751521/full","HTML","10.3389/fpls.2021.751521",16,50,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--carbon,biocrust--chlorophyll,biocrust--distribution,biocrust--light,biocrust--nitrogen,biocrust--nitrogenfixation,biocrust--phosphorus,biocrust--photosynthesis,biocrust--photosystem,biocrust--quantumyield,biocrust--reflectance,biocrust--rhizoid,biocrust--soil,biocrust--watercontent,biocrust--distribution",130049
"51","S Lan, AD Thomas, JB Rakes…","Cyanobacterial community composition and their functional shifts associated with biocrust succession in the Gurbantunggut Desert",2021,"Environmental …","https://ami-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1758-2229.13011","","10.1111/1758-2229.13011",13,51,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,google,scopus,scopus","biocrust--absorption,biocrust--albedo,biocrust--carbon,biocrust--chlorophyll,biocrust--communitycomposition,biocrust--distribution,biocrust--light,biocrust--nitrogen,biocrust--nitrogenfixation,biocrust--photosynthesis,biocrust--photosystem,biocrust--communitycomposition,biocrust--nitrogenfixation",130050
"52","F Sun, B Xiao, B Ghanbarian","Increasing effect of biocrusts on evaporation is evidenced by simulating evaporation and diffusion experiments and water stable isotope analysis",2024,"Journal of Hydrology","https://www.sciencedirect.com/science/article/pii/S0022169424008229","","",1,52,"2024-07-18 08:37:38","google,google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--albedo,biocrust--bulkdensity,biocrust--height,biocrust--rhizoid,biocrust--scattering,biocrust--watercontent,biocrust--bulkdensity",130051
"53","KE Young, SC Reed","Spectrally monitoring the response of the biocrust moss Syntrichia caninervis to altered precipitation regimes",2017,"Scientific Reports","https://www.nature.com/articles/srep41793","HTML","",12,53,"2024-07-18 08:37:38","google,google,google,google,google,google,scopus","biocrust--absorption,biocrust--chlorophyll,biocrust--photosynthesis,biocrust--reflectance,biocrust--rubisco,biocrust--scattering,biocrust--chlorophyll",130052
"54","MS Stovall, AC Ganguli, JW Schallner, AM Faist, Q Yu…","Can biological soil crusts be prominent landscape components in rangelands? A case study from New Mexico, USA",2022,"Geoderma","https://www.sciencedirect.com/science/article/pii/S0016706121007382","","",7,54,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,google,scopus,scopus","biocrust--absorption,biocrust--carbon,biocrust--communitycomposition,biocrust--distribution,biocrust--light,biocrust--nitrogenfixation,biocrust--phosphorus,biocrust--scattering,biocrust--soil,biocrust--watercontent,biocrust--communitycomposition,biocrust--light",130053
"55","GJ Kidron","Biocrust research: A critical view on eight common hydrological‐related paradigms and dubious theses",2019,"Ecohydrology","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.2061","","10.1002/eco.2061",34,55,"2024-07-18 08:37:38","google,google,google,google","biocrust--absorption,biocrust--distribution,biocrust--height,biocrust--soil",130054
"56","WW Zhuang, M Serpe, YM Zhang","The effect of lichen‐dominated biological soil crusts on growth and physiological characteristics of three plant species in a temperate desert of northwest China",2015,"Plant Biology","https://onlinelibrary.wiley.com/doi/abs/10.1111/plb.12359","","10.1111/plb.12359",30,56,"2024-07-18 08:37:38","google,google,google,google,google,google,google,google,google,scopus,scopus,scopus","biocrust--absorption,biocrust--bulkdensity,biocrust--chlorophyll,biocrust--conductance,biocrust--distribution,biocrust--leafarea,biocrust--light,biocrust--photosynthesis,biocrust--watercontent,biocrust--chlorophyll,biocrust--photosynthesis,biocrust--watercontent",130055
